# Equation: PKPD Elimination (Eq11)
# R(C_0,t) = R_0 + E_{max}(1-e^{-\kappa (C_0 e^{-k_{elim}t})^n (t/\tau)^m})
# Parameters: ['R0', 'Emax', 'kappa', 'n', 'm', 'tau', 'k_elim']
#
Drug,Contractility,,,,,,,,,,,,,,O2,,,,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,Emax,kappa,n,m,tau,k_elim,Cmax_used,R2,N_points,,R0,Emax,kappa,n,m,tau,k_elim,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.0829262266475628,0.0535867481794034,8.545975482253716,0.3302764704881487,0.1,46.44101342700215,0.2491710449607061,0.29,0.2992895711107527,296,,13.044106752943016,16.109026288392872,2.275122280309364,0.7077695858256847,5.826039946796964,30.71917310140304,1.0015595774477586e-06,0.29,0.2964899430427494,296
Doxorubicin,true,true,most,0.1062506009310123,0.0985739791115109,6.986977096160837e-05,5.999999999999999,4.762491427787012,80.78055669052792,0.0314121917228155,0.13,0.4309085640547763,259,,13.704378982968546,99.99999999790406,0.697881423881619,0.5359602971254094,2.429096859679737,73.18873953121471,0.0522204980763567,0.13,0.8114272482507008,259
Epirubicin,true,true,most,0.0762420333846386,0.0803934159485069,0.0012878304994285,5.999999999874293,0.1,56.94892968638312,0.009824796481789,0.45,0.5250827552118258,296,,14.783835571459482,99.99999999994256,1.874794378403164,0.4016140769517811,3.0211636846871746,48.59323128700392,0.1094433540848653,0.45,0.8015876525379089,296
Ibrutinib,true,true,most,0.0991559480911188,0.036381616087404,0.1573254167753929,5.999999999999999,0.1265376285998315,95.98040564681835,0.0010500413294075,0.53,0.210768618554929,296,,18.223370509785568,100.0,6.308157319558783,0.2517065704244862,4.152554435964713,54.371119770188834,0.2688294971152821,0.53,0.4259265037469258,296
Isoproterenol,true,true,most,0.0880487553435942,0.0114053521853714,99.9999690786949,0.2310637655484282,0.5673671873021731,0.1000000000261778,0.9999999999999936,0.013,0.0198584607099423,238,,13.322575091594429,9.587326864999005,1.114544548840634,0.1,5.999999999999999,32.52402059579047,1.899000567852365e-06,0.013,0.1240257405275132,238
Panobinostat,true,true,most,0.0690826652875224,0.0690963620615461,99.99971040570564,5.999914495918393,0.99199287678431,0.1000000000000001,0.0104897801549811,0.063,0.6788617254905069,259,,14.987788472300949,99.99968593228522,1.5497114726780368,0.1,4.853679560068212,52.4553134534042,0.5207985859063212,0.063,0.3000933273785668,259
Sotalol,true,true,most,0.0909654640244394,0.0184373498863037,19.25161640320192,0.1000000000000002,0.1,44.96867425881644,0.9999999999959224,3.2,0.0566924939175906,272,,24.456590009835512,25.706485559835297,0.2640211856854879,0.9010242639026154,1.7951650959429477,24.246576044840538,0.0283917605758548,3.2,0.4343773036495213,272
Sunitinib,true,true,most,0.0670228927869563,0.0023850183074522,0.0017778517650656,5.303861716298199,5.956545091955285,91.38973696321123,0.7720576852312379,0.15,-2.220446049250313e-16,296,,17.16692482545181,100.0,2.6595302650777857,0.5132163222147438,3.77365660471192,72.8803721042494,0.0808350353561498,0.15,0.5370442446680135,296
Vandetanib,true,true,most,0.1138410955075837,0.0226201089858565,22.496472675163723,0.2369592620607585,2.904803905601828,8.240361729762526,0.9999999999981118,1.2,0.0435055716348639,296,,9.691657290983851,99.99999993245362,4.934677441414606,0.2386010637481505,2.4028652899165195,65.61790787331165,0.1574756189254208,1.2,0.5125556003552032,296
Cobimetinib,false,true,most,0.0588691447077927,0.0245333950498048,22.164082557997705,1.79187109505889,1.476861819200785,4.446107109359694,0.0569133430857783,0.53,0.1099347696366594,296,,13.290895728177883,99.99999999986444,0.2682960431497693,0.4019393537320818,2.089560437459591,23.19315979502688,0.0773642915077465,0.53,0.6810419153210538,296
