Drug,R0,Emax,kappa,n,m,tau,k_elim,Cmax_used,R2,N_points
Amiodarone,0.0647553414402564,0.0156961030491264,99.99999913717883,0.1476282391534124,0.10000000000000002,0.1000000000612601,0.9999999999999999,2.8,0.03810038271204508,255
Bortezomib,0.08292622664756287,0.053586748179403405,8.545975482253716,0.33027647048814873,0.10000000000000002,46.44101342700215,0.24917104496070613,0.29,0.2992895711107527,296
Chlorpromazine,0.08881996925344697,0.02211078678783844,36.38049304197861,0.10000000000024399,0.1000000000017458,56.74357684526998,0.9999999999861244,2.5,0.04048344139327387,272
Cobimetinib,0.05886914470779276,0.0245333950498048,22.164082557997705,1.79187109505889,1.476861819200785,4.446107109359694,0.05691334308577834,0.53,0.10993476963665949,296
Dactinomycin,0.06752571462348637,0.028821262984644023,3.089154190601016e-06,5.996794973356409,0.18321671597340836,81.85009850723674,0.00178564626667227,0.034,0.22682705088635813,272
Daunorubicin,0.10547983999081652,0.09674761350739917,0.8058480168459975,1.6374321309903241,2.2439155245022038,33.78916862931288,0.03321802296057956,0.24,0.8009290754198926,259
Doxorubicin,0.10625060093101235,0.09857397911151099,6.986977096160837e-05,5.999999999999999,4.762491427787012,80.78055669052792,0.03141219172281557,0.13,0.4309085640547763,259
Epirubicin,0.07624203338463868,0.08039341594850696,0.0012878304994285376,5.999999999874293,0.10000000000000002,56.948929686383124,0.00982479648178901,0.45,0.5250827552118258,296
Erlotinib,0.06391988744614259,0.01338204485522892,12.595702235046797,3.185208688024278,3.237879570082291,2.383775628938664,0.05636396939378555,0.65,0.05554859018791103,296
Etomoxir,0.062319430551792024,0.02432619507224103,1.0000000000000042e-06,4.456999577810833,4.832724839286574,95.99999999999999,0.0236484322902226,0.1,0.034470295896388836,272
Gemcitibine,0.07270997401004418,0.03216350106822311,57.623989785876816,0.9389078947882958,2.503409309486903,11.635090412501746,0.18205116704460284,20.0,0.1259423360194667,264
Ibrutinib,0.09915594809111888,0.036381616087404034,0.15732541677539294,5.999999999999999,0.1265376285998315,95.98040564681837,0.0010500413294075035,0.53,0.210768618554929,296
Ibuprofen,0.004621568226911175,0.19999999986638525,0.17770988167100873,4.275799201185808,5.999999999999999,41.988749819839605,0.02191224639024873,150.0,0.08733314847609197,648
Isoproterenol,0.0880487553435942,0.011405352185371411,99.9999690786949,0.2310637655484282,0.5673671873021731,0.10000000002617783,0.9999999999999936,0.013,0.01985846070994235,238
Mexiletine,0.07094323687583566,0.055283634529578574,99.99999999999922,5.999999999999999,0.4398750323541416,0.10000000000000002,0.002258914964647054,3.6,0.2937448588269943,272
Nifedipine,0.06960227988173984,0.01423475987518261,99.99800187762635,0.23104504153270966,0.10000000000000002,0.1000005720358684,0.9999999999999999,0.39,0.03573467673840158,272
Panobinostat,0.0690826652875224,0.06909636206154617,99.99971040570564,5.999914495918393,0.9919928767843099,0.10000000000000012,0.0104897801549811,0.063,0.6788617254905069,259
Plicamycin,0.053474621388341574,0.026465198187460705,0.00021888706048981297,5.997570053085488,0.913063651587764,95.99705515249723,0.00983804287229888,0.15,0.11743245643113254,272
Rosiglitazone,0.003043797265452071,0.0019302338062504524,24.13061885655413,0.10000000000000002,0.10000000000000717,65.47718049510398,0.9999999999999999,0.85,0.09625638301228301,612
Sotalol,0.09096546402443946,0.018437349886303783,19.25161640320192,0.10000000000000026,0.10000000000000002,44.96867425881644,0.9999999999959223,3.2,0.05669249391759068,272
Sunitinib,0.06702289278695632,0.002385018307452285,0.0017778517650656987,5.303861716298199,5.956545091955285,91.38973696321123,0.7720576852312379,0.15,-2.220446049250313e-16,296
Vandetanib,0.11384109550758376,0.022620108985856514,22.496472675163723,0.23695926206075857,2.904803905601828,8.240361729762526,0.9999999999981118,1.2,0.043505571634863904,296
Vincristine,0.06974924691447289,0.024613706393881874,1.0000000065464703e-06,5.978625695708634,4.5991246244691455,95.99231467163249,0.018906479499332197,0.063,0.15034044159199855,263
Vioxx,0.0036838420468374134,0.0013225880192815197,19.578952976906077,0.16056695980481225,0.10000000000000002,45.88984835133848,0.9999772311993176,0.66,0.04487133321667747,588
Vorinostat,0.061440040263717285,0.0018513831056511248,0.09921819239839036,4.646847429179168,5.608215640274471,87.32971559974412,0.7744912219437823,1.5,-7.327471962526033e-15,296
