Drug,R0,Emax,kappa,n,m,tau,k_elim,Cmax_used,R2,N_points
Amiodarone,19.955595099165393,44.02627534504795,1.4392413891653557,1.6773118809012337,2.3553033987462086,79.2977284108934,0.011736251084525317,2.8,0.741511559331214,255
Bortezomib,13.044106752943016,16.109026288392872,2.2751222803093634,0.7077695858256847,5.826039946796964,30.719173101403037,1.0015595774477586e-06,0.29,0.29648994304274945,296
Chlorpromazine,19.27507699438041,43.4423830068813,0.02425692067030386,3.8730253162151747,1.2725222193124317,82.15451041716074,0.0031918023719340327,2.5,0.7793206620837313,272
Cobimetinib,13.290895728177883,99.99999999986443,0.2682960431497693,0.40193935373208184,2.089560437459591,23.193159795026876,0.07736429150774653,0.53,0.6810419153210538,296
Dactinomycin,18.157741472357483,56.30879000547787,1.567243877453897,0.3290377605664042,1.5917975900406949,61.131499665642494,0.018792906041152947,0.034,0.9388936689050125,272
Daunorubicin,10.826559320692335,63.70828769747873,1.0145055251888917,0.8984295617208985,3.473334645882282,56.20062233696039,0.047982126983465184,0.24,0.8533704974180558,259
Doxorubicin,13.704378982968546,99.99999999790406,0.697881423881619,0.5359602971254094,2.429096859679737,73.18873953121471,0.05222049807635678,0.13,0.8114272482507008,259
Epirubicin,14.783835571459482,99.99999999994256,1.874794378403164,0.40161407695178114,3.0211636846871746,48.59323128700392,0.1094433540848653,0.45,0.8015876525379089,296
Erlotinib,13.816345379132414,99.99999999265172,1.1394134069413853,0.41531139676037765,2.6126457096740534,59.07766049474541,0.08315321996340391,0.65,0.7108125960450387,296
Etomoxir,22.162402139593468,22.749919209756364,2.6859839593737695,0.5178480260192784,4.895795818858317,33.01549150628264,0.15545951539864888,0.1,0.27784403778419775,272
Gemcitibine,23.608384500980847,27.76195281138421,25.3272008353538,3.5134083568922536,5.999999999998449,28.05069727965732,0.03409802222056106,20.0,0.2616773511376742,264
Ibrutinib,18.223370509785568,99.99999999999999,6.308157319558783,0.2517065704244862,4.152554435964713,54.371119770188834,0.2688294971152821,0.53,0.42592650374692587,296
Ibuprofen,24.999999999999996,28.112223760365985,8.433808468018123,0.2751287426877481,0.5185184980512797,63.79820279829792,0.12958849669375733,150.0,0.3406895306217582,648
Isoproterenol,13.322575091594427,9.587326864999005,1.114544548840634,0.10000000000000002,5.999999999999999,32.52402059579047,1.899000567852365e-06,0.013,0.12402574052751325,238
Mexiletine,16.294685941265026,32.58809052027273,1.2173375721321955,0.3403410817487749,2.9098662532320145,24.89054124136089,0.1418669399461065,3.6,0.3477316257667856,272
Nifedipine,19.07167344774891,99.9999999995925,0.001650063826061738,2.171059492171126,0.80076539259529,80.41705345256405,0.005044808349742126,0.39,0.6206809931820754,272
Panobinostat,14.987788472300949,99.99968593228522,1.5497114726780368,0.10000000000000002,4.853679560068212,52.4553134534042,0.5207985859063212,0.063,0.30009332737856687,259
Plicamycin,17.522643411777853,67.51684549369756,0.11149750015545586,0.5133440934607981,1.7693440643843623,54.826457314089986,0.010511493115285868,0.15,0.746246854473521,272
Rosiglitazone,24.999999999999996,45.84369229797213,0.6098365303566925,0.10000000000000388,0.21238189864758733,66.65243321485958,0.058283506638705865,0.85,0.20147519842623773,612
Sotalol,24.456590009835512,25.706485559835297,0.26402118568548794,0.9010242639026154,1.7951650959429477,24.246576044840538,0.028391760575854894,3.2,0.4343773036495213,272
Sunitinib,17.16692482545181,99.99999999999999,2.6595302650777857,0.5132163222147438,3.7736566047119195,72.8803721042494,0.08083503535614985,0.15,0.5370442446680135,296
Vandetanib,9.691657290983851,99.99999993245362,4.934677441414606,0.23860106374815057,2.4028652899165195,65.61790787331165,0.15747561892542083,1.2,0.5125556003552032,296
Vincristine,9.803032618866997,16.400766826059982,4.618773214160077,5.443629600889649,5.991839545677391,57.502693946010744,0.02025948840995575,0.063,0.1013528795833063,263
Vioxx,24.999999999999996,11.77266614807589,15.079750112862238,0.10000000047347671,1.6840649015159368,17.408009474646622,0.8622520263962306,0.66,0.16477058560998836,588
Vorinostat,15.814779557751944,99.99999999985185,13.39219651805708,0.38244867965450163,5.999999989613419,55.592071598568744,0.2003496809985601,1.5,0.553237150641685,296
