# Equation: Recovery Model (Eq9)
# R(C,t) = R_0 - E_{damage}(1-e^{-k_{damage} C t}) \cdot e^{-k_{recovery} t}
# Parameters: ['R0', 'E_damage', 'k_damage', 'k_recovery']
#
Drug,Contractility,,,,,,,,,,,O2,,,,,,
Drug,Arrhythmia,Cardiotoxicity,Concern,R0,E_damage,k_damage,k_recovery,Cmax_used,R2,N_points,,R0,E_damage,k_damage,k_recovery,Cmax_used,R2,N_points
Bortezomib,true,true,most,0.0989852835210815,3.7539379725074895e-09,1.0851487372534402e-06,0.9999958310077292,0.29,-2.664535259100376e-15,296,,25.0,17.9531039365514,4.702365846590912,0.0672647408712119,0.29,0.1169816830279274,296
Doxorubicin,true,true,most,0.1274792354403803,0.077068453438889,0.4417947317457805,0.9863762613731638,0.13,1.6993205001258893e-05,259,,25.0,17.182406003144823,9.999999999,0.1160792600051018,0.13,-0.169569788830374,259
Epirubicin,true,true,most,0.1061521003986246,0.0950181665835981,0.0060131150017444,0.761086956763958,0.45,5.067562416216642e-05,296,,25.0,17.949314794446273,9.999982797141277,0.1260090988499173,0.45,-0.3776831668355453,296
Ibrutinib,true,true,most,0.1171260633310635,6.440048141574846e-10,1.002266214535796e-06,0.9999995662871548,0.53,0.0,296,,25.0,12.961963104660276,9.999999999998424,0.104661798929479,0.53,-0.066473520496296,296
Isoproterenol,true,true,most,0.0919506211484628,1.576145223138655e-08,2.244470271965605e-06,0.999973999288706,0.013,-2.242650509742816e-14,238,,23.140724136271984,99.62508417079852,0.0017434553301935,0.0868094528100517,0.013,0.1403364774488403,238
Panobinostat,true,true,most,0.1207920582364148,1.6336563134998337e-11,1.0000891656301615e-06,0.9999999993588764,0.063,0.0,259,,24.99999999680756,14.368198830483648,4.569651868554224,0.0418521650433192,0.063,0.1094697126308557,259
Sotalol,true,true,most,0.0962433455856496,2.7701559473992016e-10,1.0002973063761044e-06,0.9999998905480292,3.2,-2.220446049250313e-16,272,,25.0,3.596241826799345,9.999999999999998,0.2974179676425433,3.2,-0.4031544248293999,272
Sunitinib,true,true,most,0.0904603015296937,0.0877526557405451,0.0064261066168191,0.0061437459108181,0.15,0.3712087268211422,296,,24.999999999141497,16.02575520683593,1.8389548421303248,0.0641552539455736,0.15,0.0537143594400973,296
Vandetanib,true,true,most,0.1288955713973196,0.1999999999999988,0.0006293384938566,0.0006519376767213,1.2,0.1163937693424381,296,,25.0,25.20651768200782,9.999999999999998,0.1186081011550814,1.2,-0.1110773749430285,296
Cobimetinib,false,true,most,0.0734136497738694,1.1941616095693572e-10,1.000064212031143e-06,0.999999997182035,0.53,0.0,296,,25.0,23.356955999412538,9.999999999999998,0.1393836887138849,0.53,-0.1306340444353551,296
Daunorubicin,false,true,most,0.1590612266948432,0.051644117410726,8.21388563388175,0.1377559237624146,0.24,0.021467091566459,259,,24.9999999978499,24.050966942996347,9.999960510599998,0.0732197486518196,0.24,0.0571981231447353,259
Ibuprofen,false,true,most,0.0048307786412281,4.331871420521362e-05,0.8375792868630911,1.0351352221005207e-06,150.0,5.611977685981984e-05,648,,25.0,3.07430537190706e-08,1.0249593138215995e-06,0.9999999980357528,150.0,-1.2112719881105374,648
Rosiglitazone,false,true,most,0.0045128436558858,0.0030064490662614,0.0003070645325112,1.0000000000513865e-06,0.85,0.1557786266309644,612,,24.99999999999976,3.1462415002935986e-11,1.0000163388145758e-06,0.999999999998361,0.85,-9.167660273148392,612
