Drug,R0,E_damage,k_damage,k_recovery,Cmax_used,R2,N_points
Amiodarone,0.11897252963168625,0.06597770251763903,0.11639166778884791,1.0000004946051081e-06,2.8,0.34823806134140034,255
Bortezomib,0.09898528352108156,3.7539379725074895e-09,1.0851487372534402e-06,0.9999958310077293,0.29,-2.6645352591003757e-15,296
Chlorpromazine,0.1613644711388272,0.07749581827209838,0.19928434147929766,1.0000007685392076e-06,2.5,0.238201695605452,272
Cobimetinib,0.07341364977386944,1.1941616095693572e-10,1.000064212031143e-06,0.999999997182035,0.53,0.0,296
Dactinomycin,0.07798702295109847,7.961928848239684e-10,1.0009507476909946e-06,0.9999996784192559,0.034,-1.9984014443252818e-15,272
Daunorubicin,0.15906122669484324,0.05164411741072604,8.21388563388175,0.13775592376241463,0.24,0.021467091566459096,259
Doxorubicin,0.12747923544038034,0.07706845343888909,0.44179473174578054,0.9863762613731638,0.13,1.6993205001258893e-05,259
Epirubicin,0.10615210039862469,0.09501816658359812,0.0060131150017444755,0.761086956763958,0.45,5.067562416216642e-05,296
Erlotinib,0.07854677914375047,0.19999999999999998,0.0005875625263154785,0.04474369512332768,0.65,0.08848766438132671,296
Etomoxir,0.10870641908235688,0.0539832353832676,0.006491179286395146,4.831620864064563e-05,0.1,0.17983892263599466,272
Gemcitibine,0.07853736079484189,1.557697393449642e-10,1.0002214327412165e-06,0.9999999991765146,20.0,0.0,264
Ibrutinib,0.11712606333106358,6.440048141574846e-10,1.002266214535796e-06,0.9999995662871547,0.53,0.0,296
Ibuprofen,0.004830778641228113,4.331871420521362e-05,0.8375792868630911,1.0351352221005207e-06,150.0,5.6119776859819837e-05,648
Isoproterenol,0.09195062114846282,1.576145223138655e-08,2.244470271965605e-06,0.9999739992887059,0.013,-2.2426505097428162e-14,238
Mexiletine,0.10268236426051368,5.903999056259949e-08,1.000121432696399e-06,0.7197853683547536,3.6,-2.1538326677728037e-14,272
Nifedipine,0.07655877502261105,0.019338108464366992,0.001454388963020899,1.000000000019928e-06,0.39,0.0431719521249867,272
Panobinostat,0.12079205823641483,1.6336563134998337e-11,1.0000891656301615e-06,0.9999999993588765,0.063,0.0,259
Plicamycin,0.0687406417471369,3.232849159633174e-16,1.1896111573132744e-06,0.9999610218941243,0.15,1.1102230246251565e-16,272
Rosiglitazone,0.004512843655885867,0.0030064490662614187,0.00030706453251122995,1.0000000000513863e-06,0.85,0.15577862663096442,612
Sotalol,0.09624334558564965,2.770155947399202e-10,1.0002973063761044e-06,0.9999998905480291,3.2,-2.220446049250313e-16,272
Sunitinib,0.09046030152969374,0.08775265574054515,0.006426106616819149,0.006143745910818117,0.15,0.37120872682114225,296
Vandetanib,0.12889557139731964,0.19999999999999887,0.0006293384938566862,0.0006519376767213225,1.2,0.11639376934243817,296
Vincristine,0.0788820799327367,0.010771904363148413,0.04909780794453931,0.2861273576966333,0.063,0.0009530023740853544,263
Vioxx,0.004138578681110516,0.003105902201368931,0.0007427519260975383,1.0000000078318851e-06,0.66,0.050228577496579274,588
Vorinostat,0.07643172605824174,0.13721486192796456,0.004266171424393494,0.010999989996736223,1.5,0.5209816703184053,296
