Drug,R0,E_damage,k_damage,k_recovery,Cmax_used,R2,N_points
Amiodarone,24.999999999999975,14.373229312817978,9.999990296190585,0.0739966951605404,2.8,0.01421357865496009,255
Bortezomib,24.999999999999996,17.9531039365514,4.702365846590912,0.06726474087121195,0.29,0.11698168302792744,296
Chlorpromazine,24.999999999999996,8.406022405955879,9.99999999998101,0.1509672274114349,2.5,-0.03970989431009708,272
Cobimetinib,24.999999999999996,23.356955999412538,9.999999999999998,0.13938368871388496,0.53,-0.1306340444353551,296
Dactinomycin,24.999999999999996,29.430839879304763,9.999999999915364,0.8380919170869806,0.034,-3.1415014964940005,272
Daunorubicin,24.9999999978499,24.050966942996347,9.999960510599998,0.0732197486518196,0.24,0.05719812314473538,259
Doxorubicin,24.999999999999996,17.182406003144823,9.999999999,0.11607926000510185,0.13,-0.169569788830374,259
Epirubicin,24.999999999999996,17.949314794446273,9.999982797141275,0.12600909884991737,0.45,-0.37768316683554537,296
Erlotinib,24.999999999999996,18.982147579400532,1.9129707089104837,0.09577725235612733,0.65,-0.049080261773240874,296
Etomoxir,24.999999999999996,1.536999718697836,9.999999999,0.20042785973918031,0.1,-0.5510826886145548,272
Gemcitibine,24.999999999999993,15.188077547317626,9.999999981493715,0.08147366476466054,20.0,0.048599289358886244,264
Ibrutinib,24.999999999999996,12.961963104660276,9.999999999998423,0.10466179892947908,0.53,-0.06647352049629607,296
Ibuprofen,24.999999999999996,3.07430537190706e-08,1.0249593138215995e-06,0.9999999980357527,150.0,-1.2112719881105374,648
Isoproterenol,23.140724136271984,99.62508417079852,0.0017434553301935365,0.08680945281005178,0.013,0.14033647744884037,238
Mexiletine,24.999999999999996,11.591272442143167,9.999999999999565,0.09978722833012749,3.6,-0.0888405239024539,272
Nifedipine,24.999999923239265,11.872174051471422,9.999999981951133,0.06226697574431785,0.39,0.026454272698511527,272
Panobinostat,24.999999996807556,14.368198830483648,4.5696518685542244,0.04185216504331921,0.063,0.1094697126308557,259
Plicamycin,24.999999999999996,14.273353362688626,0.5509456709815668,0.11747715751555586,0.15,-0.35770140234250647,272
Rosiglitazone,24.999999999999762,3.146241500293599e-11,1.0000163388145758e-06,0.999999999998361,0.85,-9.167660273148392,612
Sotalol,24.999999999999996,3.5962418267993446,9.999999999999998,0.29741796764254336,3.2,-0.4031544248293999,272
Sunitinib,24.999999999141497,16.02575520683593,1.8389548421303252,0.0641552539455736,0.15,0.05371435944009739,296
Vandetanib,24.999999999999996,25.20651768200782,9.999999999999998,0.11860810115508143,1.2,-0.1110773749430285,296
Vincristine,24.999999999999996,11.391811955662465,0.44615332825926646,0.05244581999784119,0.063,0.0323745631582123,263
Vioxx,24.999999999999996,6.849240295717204e-10,1.0011537457934802e-06,0.999999999978537,0.66,-0.48661780295889967,588
Vorinostat,24.99999999965274,17.72087792442902,9.999999999999998,0.06423116688589908,1.5,0.06267578303582111,296
