drug,concentration,conc_uM,well,cmax_uM,exceeds_cmax,baseline_used,bpm_change,pct_change,0h_bpm,3h_bpm,4h_bpm,6h_bpm,9h_bpm,12h_bpm,14h_bpm,17h_bpm,19h_bpm,22h_bpm,24h_bpm,27h_bpm,30h_bpm,32h_bpm,35h_bpm,38h_bpm,40h_bpm,43h_bpm,45h_bpm,48h_bpm,51h_bpm,53h_bpm,56h_bpm,59h_bpm,61h_bpm,64h_bpm,66h_bpm,69h_bpm,72h_bpm,74h_bpm,77h_bpm,80h_bpm,82h_bpm,85h_bpm,88h_bpm,90h_bpm,93h_bpm,96h_bpm
epirubicin,0_094mM,0.094,O23,0.45,False,0h,19.3,23.0,83.82,113.04,113.04,90.91,80.95,104.55,40.3,116.42,95.65,44.78,103.12,45.45,80.6,,,83.08,,,,,66.67,75.0,93.75,113.11,88.52,,,68.57,87.1,76.19,42.86,90.48,90.48,67.74,83.61,58.06,72.58,85.71
epirubicin,0_094mM,0.094,P23,0.45,False,0h,,,82.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epirubicin,0_19mM,0.19,M23,0.45,False,0h,10.34,11.2,92.65,97.06,97.06,107.46,98.51,31.34,88.24,92.31,71.64,31.34,102.99,63.64,83.08,35.82,30.43,35.82,81.82,98.51,61.76,102.99,31.34,53.73,89.55,50.0,110.29,36.92,40.3,107.46,44.12,104.55,80.6,31.34,102.99,31.82,90.91,89.55,31.34,85.07
epirubicin,0_19mM,0.19,M24,0.45,False,0h,,,71.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epirubicin,0_19mM,0.19,N23,0.45,False,0h,23.88,31.4,76.12,77.27,77.27,36.36,36.92,83.82,31.34,79.41,71.43,75.0,100.0,83.82,97.06,68.85,107.81,77.42,61.9,32.81,,,,,,,,,,,,,,,,,,,89.06,
epirubicin,0_19mM,0.19,N24,0.45,False,3h,,,,,,,,52.38,38.1,71.43,,,,,,,,,,,,,,,,72.58,101.54,77.42,107.81,91.94,80.95,,,,,,,,,
epirubicin,0_38mM,0.38,K23,0.45,False,0h,30.88,38.9,79.41,110.29,110.29,54.55,81.82,34.78,81.82,44.12,40.91,81.82,110.29,44.12,49.25,97.06,96.92,98.44,98.51,89.55,41.54,,84.21,35.29,59.09,44.12,31.82,60.87,57.35,39.71,71.64,61.76,105.88,76.12,49.25,40.91,77.27,113.64,47.01,67.16
epirubicin,0_38mM,0.38,K24,0.45,False,0h,25.35,33.3,76.12,86.96,86.96,,70.59,106.15,91.3,88.24,58.21,53.73,101.47,31.34,89.55,116.42,52.94,52.94,40.91,100.0,66.18,35.82,50.0,40.3,90.91,119.12,35.82,54.55,116.42,101.47,83.08,107.46,73.85,102.99,40.91,72.73,104.76,63.64,113.04,39.71
epirubicin,0_38mM,0.38,L23,0.45,False,0h,-11.65,-9.8,119.12,58.21,58.21,86.36,83.82,51.49,119.12,118.18,55.97,56.52,107.46,119.12,49.25,94.03,107.14,105.88,107.46,109.09,52.94,107.46,30.88,34.62,34.09,52.27,100.0,100.0,104.55,92.65,64.62,119.12,116.42,119.12,80.6,104.55,100.0,63.64,116.42,100.0
epirubicin,0_38mM,0.38,L24,0.45,False,0h,-54.07,-55.8,96.92,39.34,39.34,65.62,83.61,96.77,80.95,96.77,57.14,35.0,42.86,95.24,100.0,100.0,91.94,38.71,79.69,96.77,100.0,93.75,56.25,47.62,101.61,76.19,113.64,103.28,95.24,111.29,105.0,118.03,33.33,98.44,104.76,100.0,33.87,57.14,76.19,106.45
epirubicin,0_75mM,0.75,I23,0.45,True,0h,-34.09,-38.1,89.47,105.41,105.41,54.55,50.0,113.64,102.99,83.82,40.91,57.35,55.38,40.91,95.45,98.51,66.18,59.09,94.03,92.31,54.55,53.73,90.91,35.82,45.45,98.51,34.09,89.55,82.61,67.16,89.55,90.91,89.55,40.3,111.94,83.82,88.52,104.76,,
epirubicin,0_75mM,0.75,I24,0.45,True,3h,-3.15,-3.0,,104.76,104.76,57.14,98.36,77.42,111.29,95.24,33.87,34.43,101.61,119.05,89.06,111.94,38.1,103.28,77.42,42.86,95.45,63.64,34.43,62.9,101.61,49.18,107.81,82.26,67.74,101.61,93.44,117.19,,104.76,52.38,109.52,71.43,88.52,95.24,32.81
epirubicin,0_75mM,0.75,J23,0.45,True,0h,57.46,114.9,50.0,100.0,100.0,63.64,45.45,68.18,40.3,35.29,101.47,57.35,107.46,92.65,86.96,52.94,31.82,44.78,77.78,105.88,59.09,70.59,100.0,86.36,104.08,81.82,,82.35,100.0,98.51,89.06,104.55,96.92,119.12,116.42,83.82,66.18,97.06,90.91,83.82
epirubicin,0_75mM,0.75,J24,0.45,True,0h,-57.92,-57.1,101.47,60.94,60.94,47.62,95.24,57.14,38.71,,,,43.55,91.94,114.29,37.5,38.71,63.64,119.12,79.41,45.45,107.46,119.12,88.24,102.99,94.03,39.71,111.94,70.59,35.82,41.54,50.77,80.6,72.73,35.82,111.94,68.18,98.51,118.18,92.31
epirubicin,12mM,12.0,A23,0.45,True,0h,-7.55,-19.3,39.13,92.86,92.86,88.89,44.12,105.88,82.61,111.94,55.97,118.18,31.58,73.68,94.03,94.03,62.69,104.55,35.82,52.94,113.04,114.71,110.77,79.41,76.12,90.91,72.73,68.18,89.55,75.0,94.03,71.64,54.55,78.26,111.94,80.6,100.0,95.45,118.18,31.82
epirubicin,12mM,12.0,A24,0.45,True,0h,-19.13,-17.7,108.2,42.86,42.86,33.33,63.93,36.29,116.13,57.14,,79.69,89.06,67.74,,85.07,47.62,47.62,60.0,,80.6,101.47,36.92,119.05,53.23,30.88,88.24,32.31,55.0,94.03,61.76,35.29,103.12,90.57,,,,,,
epirubicin,12mM,12.0,B23,0.45,True,0h,-12.02,-10.9,110.29,100.0,100.0,110.29,102.99,31.34,83.08,94.03,101.47,109.09,98.28,53.73,58.21,68.18,84.0,55.3,34.88,89.55,67.16,66.18,92.65,30.88,40.3,39.71,57.35,85.07,87.69,30.88,105.88,76.12,95.45,49.25,85.07,89.55,98.51,73.85,30.88,67.16
epirubicin,1_5mM,1.5,G23,0.45,True,0h,-13.43,-13.0,102.99,58.21,58.21,79.41,64.62,56.25,49.25,105.88,39.13,68.18,89.55,96.92,85.07,30.88,39.71,71.64,80.6,44.12,,120.0,40.3,87.69,31.34,54.55,118.18,90.91,85.07,92.65,107.46,88.24,44.12,76.12,109.09,83.82,31.34,,104.55,67.16
epirubicin,1_5mM,1.5,G24,0.45,True,0h,-55.53,-58.3,95.24,112.5,112.5,88.24,86.36,92.65,72.73,110.29,98.51,67.16,39.71,69.23,96.92,90.91,113.64,,72.73,31.34,92.65,,119.12,108.7,,97.06,80.6,44.12,39.71,92.65,35.82,96.92,36.36,49.25,44.12,79.41,39.71,43.48,102.99,110.29
epirubicin,1_5mM,1.5,H23,0.45,True,0h,-35.82,-33.3,107.46,94.03,94.03,32.31,62.69,62.69,69.57,80.6,71.64,64.62,71.64,44.78,71.64,89.55,62.69,107.46,109.09,77.42,79.69,95.24,,48.53,31.34,102.99,53.73,98.51,107.46,114.71,79.41,35.82,77.27,89.55,97.06,77.27,58.21,,40.3,40.3
epirubicin,1_5mM,1.5,H24,0.45,True,0h,,,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epirubicin,3mM,3.0,E23,0.45,True,0h,-15.11,-14.9,101.47,83.82,83.82,83.82,80.6,88.24,62.69,62.69,62.69,69.23,86.36,59.09,104.55,64.62,57.35,62.69,65.62,100.0,54.55,60.0,59.09,79.41,90.91,72.73,78.26,60.0,59.09,102.99,113.64,70.59,104.55,44.12,46.87,35.29,49.25,80.6,61.76,31.34
epirubicin,3mM,3.0,E24,0.45,True,0h,-28.18,-47.0,60.0,53.73,53.73,80.6,31.03,57.89,102.99,105.88,54.55,114.71,31.82,30.88,,98.51,113.04,95.45,72.73,40.91,104.55,115.38,91.94,55.1,,34.29,36.36,34.09,40.3,30.88,77.27,107.46,97.06,97.06,83.82,,107.46,107.46,81.82,72.73
epirubicin,3mM,3.0,F23,0.45,True,0h,-23.99,-28.9,83.08,102.99,102.99,116.42,62.69,44.78,39.71,58.21,115.38,69.23,59.09,,98.51,44.78,68.18,90.91,94.03,34.78,35.82,102.99,48.53,31.82,77.27,111.94,110.29,86.96,82.61,100.0,80.6,73.85,118.18,39.71,85.07,76.12,117.39,70.59,60.87,44.78
epirubicin,3mM,3.0,F24,0.45,True,0h,,,84.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epirubicin,6mM,6.0,C23,0.45,True,0h,46.43,86.7,53.57,110.2,110.2,52.94,77.27,54.55,,50.0,47.01,59.09,100.0,31.34,77.27,,,100.0,34.78,114.71,66.18,90.91,58.21,43.18,40.91,77.27,66.18,48.53,31.34,53.73,81.82,101.47,59.09,76.12,30.88,70.59,39.71,80.6,97.06,49.25
epirubicin,6mM,6.0,C24,0.45,True,0h,-13.33,-23.2,57.45,120.0,120.0,113.79,100.0,110.29,57.35,89.55,50.0,94.03,44.12,58.21,,49.25,106.15,62.07,56.25,37.5,48.53,104.35,94.03,87.69,59.09,87.69,40.91,103.12,58.21,35.29,114.71,45.45,47.83,40.3,47.83,91.3,64.62,108.7,44.78,97.06
epirubicin,6mM,6.0,D23,0.45,True,0h,-67.83,-65.8,103.12,83.82,83.82,114.71,109.09,116.42,64.62,117.19,80.6,50.0,35.29,105.88,67.16,95.24,92.65,107.46,35.82,63.64,72.73,79.41,59.09,41.91,83.82,41.54,100.0,59.09,49.25,40.3,31.82,111.94,39.71,65.22,63.64,111.94,118.18,111.94,60.94,40.3
epirubicin,6mM,6.0,D24,0.45,True,3h,,,,37.5,37.5,88.24,111.94,86.36,83.82,,,,,,,,,,30.88,43.48,47.37,,,,95.65,54.55,89.55,52.38,66.18,,109.09,,,54.55,101.54,63.64,100.0,75.0,46.32,86.36
doxorubicin,0_16mM,0.16,O21,0.13,True,0h,18.43,47.6,38.71,51.56,51.56,57.14,77.42,119.05,75.0,91.94,106.45,89.06,57.14,54.1,71.43,119.05,,62.9,,42.19,51.56,70.31,90.48,84.37,100.0,85.71,64.62,61.9,67.74,,118.03,103.12,114.29,114.29,93.44,91.94,42.86,116.13,106.45,62.69
doxorubicin,0_16mM,0.16,O22,0.13,True,0h,-26.87,-35.3,76.12,48.53,48.53,48.53,49.25,50.77,49.25,49.25,49.25,49.25,49.25,47.01,45.45,45.45,79.41,89.55,44.12,44.12,88.24,116.42,44.12,36.36,46.15,44.78,88.24,104.55,39.71,44.12,40.3,40.3,79.41,39.71,41.54,39.71,39.71,81.82,83.82,80.6
doxorubicin,0_16mM,0.16,P21,0.13,True,0h,,,89.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doxorubicin,0_16mM,0.16,P22,0.13,True,0h,17.91,57.1,31.34,102.99,102.99,40.3,,107.46,44.12,40.91,67.16,76.12,49.25,92.65,54.55,68.18,100.0,104.55,55.15,89.55,30.88,98.51,50.0,97.06,119.12,90.91,73.85,71.64,81.82,93.75,62.69,79.41,88.24,30.88,53.73,31.34,,39.13,81.82,85.07
