drug,concentration,conc_uM,well,cmax_uM,exceeds_cmax,baseline_used,bpm_change,pct_change,0h_bpm,3h_bpm,4h_bpm,6h_bpm,9h_bpm,12h_bpm,14h_bpm,17h_bpm,19h_bpm,22h_bpm,24h_bpm,27h_bpm,30h_bpm,32h_bpm,35h_bpm,38h_bpm,40h_bpm,43h_bpm,45h_bpm,48h_bpm,51h_bpm,53h_bpm,56h_bpm,59h_bpm,61h_bpm,64h_bpm,66h_bpm,69h_bpm,72h_bpm,74h_bpm,77h_bpm,80h_bpm,82h_bpm,85h_bpm,88h_bpm,90h_bpm,93h_bpm,96h_bpm,0h_file,3h_file,4h_file,6h_file,9h_file,12h_file,14h_file,17h_file,19h_file,22h_file,24h_file,27h_file,30h_file,32h_file,35h_file,38h_file,40h_file,43h_file,45h_file,48h_file,51h_file,53h_file,56h_file,59h_file,61h_file,64h_file,66h_file,69h_file,72h_file,74h_file,77h_file,80h_file,82h_file,85h_file,88h_file,90h_file,93h_file,96h_file
epirubicin,0_094mM,0.094,O23,0.45,False,0h,19.3,23.0,83.82,113.04,113.04,90.91,80.95,104.55,40.3,116.42,95.65,44.78,103.12,45.45,80.6,,,83.08,,,,,66.67,75.0,93.75,113.11,88.52,,,68.57,87.1,76.19,42.86,90.48,90.48,67.74,83.61,58.06,72.58,85.71,O23_0h_05_29__15_45_49.csv,O23_4h_05_29__19_33_54.csv,O23_4h_05_29__19_33_54.csv,O23_6h_05_29__22_08_10.csv,O23_9h_05_30__00_43_00.csv,O23_12h_05_30__03_17_49.csv,O23_14h_05_30__05_52_53.csv,O23_17h_05_30__08_28_14.csv,O23_19h_05_30__11_03_42.csv,O23_22h_05_30__13_39_21.csv,O23_24h_05_30__16_15_07.csv,O23_27h_05_30__18_51_06.csv,O23_30h_05_30__21_27_18.csv,,,O23_38h_05_31__05_17_15.csv,,,,,O23_51h_05_31__18_24_12.csv,O23_53h_05_31__21_02_19.csv,O23_56h_05_31__23_40_25.csv,O23_59h_06_01__02_18_58.csv,O23_61h_06_01__04_57_21.csv,,,O23_69h_06_01__12_54_18.csv,O23_72h_06_01__15_33_37.csv,O23_74h_06_01__18_13_22.csv,O23_77h_06_01__20_53_26.csv,O23_80h_06_01__23_33_34.csv,O23_82h_06_02__02_13_56.csv,O23_85h_06_02__04_54_39.csv,O23_88h_06_02__07_35_33.csv,O23_90h_06_02__10_16_35.csv,O23_93h_06_02__12_57_51.csv,O23_96h_06_02__15_39_22.csv
epirubicin,0_094mM,0.094,P23,0.45,False,0h,,,82.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P23_0h_05_29__15_47_01.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epirubicin,0_19mM,0.19,M23,0.45,False,0h,10.34,11.2,92.65,97.06,97.06,107.46,98.51,31.34,88.24,92.31,71.64,31.34,102.99,63.64,83.08,35.82,30.43,35.82,81.82,98.51,61.76,102.99,31.34,53.73,89.55,50.0,110.29,36.92,40.3,107.46,44.12,104.55,80.6,31.34,102.99,31.82,90.91,89.55,31.34,85.07,M23_0h_05_29__15_26_37.csv,M23_4h_05_29__19_14_39.csv,M23_4h_05_29__19_14_39.csv,M23_6h_05_29__21_48_54.csv,M23_9h_05_30__00_23_40.csv,M23_12h_05_30__02_58_29.csv,M23_14h_05_30__05_33_28.csv,M23_17h_05_30__08_08_46.csv,M23_19h_05_30__10_44_13.csv,M23_22h_05_30__13_19_56.csv,M23_24h_05_30__15_55_42.csv,M23_27h_05_30__18_31_37.csv,M23_30h_05_30__21_07_48.csv,M23_32h_05_30__23_44_12.csv,M23_35h_05_31__02_20_56.csv,M23_38h_05_31__04_57_39.csv,M23_40h_05_31__07_34_32.csv,M23_43h_05_31__10_11_46.csv,M23_45h_05_31__12_49_08.csv,M23_48h_05_31__15_26_35.csv,M23_51h_05_31__18_04_29.csv,M23_53h_05_31__20_42_35.csv,M23_56h_05_31__23_20_39.csv,M23_59h_06_01__01_59_11.csv,M23_61h_06_01__04_37_34.csv,M23_64h_06_01__07_16_13.csv,M23_66h_06_01__09_55_07.csv,M23_69h_06_01__12_34_22.csv,M23_72h_06_01__15_13_42.csv,M23_74h_06_01__17_53_24.csv,M23_77h_06_01__20_33_28.csv,M23_80h_06_01__23_13_34.csv,M23_82h_06_02__01_53_51.csv,M23_85h_06_02__04_34_32.csv,M23_88h_06_02__07_15_25.csv,M23_90h_06_02__09_56_28.csv,M23_93h_06_02__12_37_44.csv,M23_96h_06_02__15_19_11.csv
epirubicin,0_19mM,0.19,M24,0.45,False,0h,,,71.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M24_0h_05_29__15_27_01.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epirubicin,0_19mM,0.19,N23,0.45,False,0h,23.88,31.4,76.12,77.27,77.27,36.36,36.92,83.82,31.34,79.41,71.43,75.0,100.0,83.82,97.06,68.85,107.81,77.42,61.9,32.81,,,,,,,,,,,,,,,,,,,89.06,,N23_0h_05_29__15_27_49.csv,N23_4h_05_29__19_15_51.csv,N23_4h_05_29__19_15_51.csv,N23_6h_05_29__21_50_06.csv,N23_9h_05_30__00_24_53.csv,N23_12h_05_30__02_59_41.csv,N23_14h_05_30__05_34_41.csv,N23_17h_05_30__08_09_58.csv,N23_19h_05_30__10_45_26.csv,N23_22h_05_30__13_21_10.csv,N23_24h_05_30__15_56_55.csv,N23_27h_05_30__18_32_50.csv,N23_30h_05_30__21_09_02.csv,N23_32h_05_30__23_45_26.csv,N23_35h_05_31__02_22_09.csv,N23_38h_05_31__04_58_53.csv,N23_40h_05_31__07_35_46.csv,N23_43h_05_31__10_13_00.csv,,,,,,,,,,,,,,,,,,,N23_93h_06_02__12_38_59.csv,
epirubicin,0_19mM,0.19,N24,0.45,False,3h,,,,,,,,52.38,38.1,71.43,,,,,,,,,,,,,,,,72.58,101.54,77.42,107.81,91.94,80.95,,,,,,,,,,,,,,,N24_12h_05_30__02_59_17.csv,N24_14h_05_30__05_34_17.csv,N24_17h_05_30__08_09_34.csv,,,,,,,,,,,,,,,,N24_59h_06_01__02_00_01.csv,N24_61h_06_01__04_38_23.csv,N24_64h_06_01__07_17_02.csv,N24_66h_06_01__09_55_57.csv,N24_69h_06_01__12_35_11.csv,N24_72h_06_01__15_14_32.csv,,,,,,,,,
epirubicin,0_38mM,0.38,K23,0.45,False,0h,30.88,38.9,79.41,110.29,110.29,54.55,81.82,34.78,81.82,44.12,40.91,81.82,110.29,44.12,49.25,97.06,96.92,98.44,98.51,89.55,41.54,,84.21,35.29,59.09,44.12,31.82,60.87,57.35,39.71,71.64,61.76,105.88,76.12,49.25,40.91,77.27,113.64,47.01,67.16,K23_0h_05_29__15_07_26.csv,K23_4h_05_29__18_55_21.csv,K23_4h_05_29__18_55_21.csv,K23_6h_05_29__21_29_38.csv,K23_9h_05_30__00_04_19.csv,K23_12h_05_30__02_39_11.csv,K23_14h_05_30__05_14_09.csv,K23_17h_05_30__07_49_24.csv,K23_19h_05_30__10_24_52.csv,K23_22h_05_30__13_00_30.csv,K23_24h_05_30__15_36_15.csv,K23_27h_05_30__18_12_08.csv,K23_30h_05_30__20_48_18.csv,K23_32h_05_30__23_24_42.csv,K23_35h_05_31__02_01_21.csv,K23_38h_05_31__04_38_07.csv,K23_40h_05_31__07_14_56.csv,K23_43h_05_31__09_52_08.csv,K23_45h_05_31__12_29_30.csv,,K23_51h_05_31__17_44_48.csv,K23_53h_05_31__20_22_52.csv,K23_56h_05_31__23_00_55.csv,K23_59h_06_01__01_39_21.csv,K23_61h_06_01__04_17_48.csv,K23_64h_06_01__06_56_25.csv,K23_66h_06_01__09_35_18.csv,K23_69h_06_01__12_14_28.csv,K23_72h_06_01__14_53_48.csv,K23_74h_06_01__17_33_27.csv,K23_77h_06_01__20_13_31.csv,K23_80h_06_01__22_53_31.csv,K23_82h_06_02__01_33_50.csv,K23_85h_06_02__04_14_30.csv,K23_88h_06_02__06_55_17.csv,K23_90h_06_02__09_36_23.csv,K23_93h_06_02__12_17_35.csv,K23_96h_06_02__14_59_02.csv
epirubicin,0_38mM,0.38,K24,0.45,False,0h,25.35,33.3,76.12,86.96,86.96,,70.59,106.15,91.3,88.24,58.21,53.73,101.47,31.34,89.55,116.42,52.94,52.94,40.91,100.0,66.18,35.82,50.0,40.3,90.91,119.12,35.82,54.55,116.42,101.47,83.08,107.46,73.85,102.99,40.91,72.73,104.76,63.64,113.04,39.71,K24_0h_05_29__15_07_49.csv,K24_4h_05_29__18_55_45.csv,K24_4h_05_29__18_55_45.csv,,K24_9h_05_30__00_04_43.csv,K24_12h_05_30__02_39_35.csv,K24_14h_05_30__05_14_33.csv,K24_17h_05_30__07_49_48.csv,K24_19h_05_30__10_25_16.csv,K24_22h_05_30__13_00_54.csv,K24_24h_05_30__15_36_39.csv,K24_27h_05_30__18_12_32.csv,K24_30h_05_30__20_48_43.csv,K24_32h_05_30__23_25_06.csv,K24_35h_05_31__02_01_45.csv,K24_38h_05_31__04_38_31.csv,K24_40h_05_31__07_15_20.csv,K24_43h_05_31__09_52_32.csv,K24_45h_05_31__12_29_54.csv,K24_48h_05_31__15_07_19.csv,K24_51h_05_31__17_45_12.csv,K24_53h_05_31__20_23_17.csv,K24_56h_05_31__23_01_20.csv,K24_59h_06_01__01_39_45.csv,K24_61h_06_01__04_18_12.csv,K24_64h_06_01__06_56_50.csv,K24_66h_06_01__09_35_42.csv,K24_69h_06_01__12_14_53.csv,K24_72h_06_01__14_54_12.csv,K24_74h_06_01__17_33_52.csv,K24_77h_06_01__20_13_56.csv,K24_80h_06_01__22_53_56.csv,K24_82h_06_02__01_34_15.csv,K24_85h_06_02__04_14_55.csv,K24_88h_06_02__06_55_42.csv,K24_90h_06_02__09_36_48.csv,K24_93h_06_02__12_18_01.csv,K24_96h_06_02__14_59_27.csv
epirubicin,0_38mM,0.38,L23,0.45,False,0h,-11.65,-9.8,119.12,58.21,58.21,86.36,83.82,51.49,119.12,118.18,55.97,56.52,107.46,119.12,49.25,94.03,107.14,105.88,107.46,109.09,52.94,107.46,30.88,34.62,34.09,52.27,100.0,100.0,104.55,92.65,64.62,119.12,116.42,119.12,80.6,104.55,100.0,63.64,116.42,100.0,L23_0h_05_29__15_08_37.csv,L23_4h_05_29__18_56_33.csv,L23_4h_05_29__18_56_33.csv,L23_6h_05_29__21_30_51.csv,L23_9h_05_30__00_05_30.csv,L23_12h_05_30__02_40_22.csv,L23_14h_05_30__05_15_21.csv,L23_17h_05_30__07_50_36.csv,L23_19h_05_30__10_26_04.csv,L23_22h_05_30__13_01_42.csv,L23_24h_05_30__15_37_28.csv,L23_27h_05_30__18_13_21.csv,L23_30h_05_30__20_49_31.csv,L23_32h_05_30__23_25_54.csv,L23_35h_05_31__02_02_34.csv,L23_38h_05_31__04_39_20.csv,L23_40h_05_31__07_16_09.csv,L23_43h_05_31__09_53_21.csv,L23_45h_05_31__12_30_43.csv,L23_48h_05_31__15_08_08.csv,L23_51h_05_31__17_46_01.csv,L23_53h_05_31__20_24_06.csv,L23_56h_05_31__23_02_09.csv,L23_59h_06_01__01_40_34.csv,L23_61h_06_01__04_19_01.csv,L23_64h_06_01__06_57_39.csv,L23_66h_06_01__09_36_31.csv,L23_69h_06_01__12_15_42.csv,L23_72h_06_01__14_55_02.csv,L23_74h_06_01__17_34_41.csv,L23_77h_06_01__20_14_45.csv,L23_80h_06_01__22_54_45.csv,L23_82h_06_02__01_35_05.csv,L23_85h_06_02__04_15_44.csv,L23_88h_06_02__06_56_33.csv,L23_90h_06_02__09_37_38.csv,L23_93h_06_02__12_18_51.csv,L23_96h_06_02__15_00_18.csv
epirubicin,0_38mM,0.38,L24,0.45,False,0h,-54.07,-55.8,96.92,39.34,39.34,65.62,83.61,96.77,80.95,96.77,57.14,35.0,42.86,95.24,100.0,100.0,91.94,38.71,79.69,96.77,100.0,93.75,56.25,47.62,101.61,76.19,113.64,103.28,95.24,111.29,105.0,118.03,33.33,98.44,104.76,100.0,33.87,57.14,76.19,106.45,L24_0h_05_29__15_08_13.csv,L24_4h_05_29__18_56_09.csv,L24_4h_05_29__18_56_09.csv,L24_6h_05_29__21_30_27.csv,L24_9h_05_30__00_05_07.csv,L24_12h_05_30__02_39_59.csv,L24_14h_05_30__05_14_57.csv,L24_17h_05_30__07_50_12.csv,L24_19h_05_30__10_25_40.csv,L24_22h_05_30__13_01_18.csv,L24_24h_05_30__15_37_04.csv,L24_27h_05_30__18_12_57.csv,L24_30h_05_30__20_49_07.csv,L24_32h_05_30__23_25_30.csv,L24_35h_05_31__02_02_10.csv,L24_38h_05_31__04_38_55.csv,L24_40h_05_31__07_15_45.csv,L24_43h_05_31__09_52_57.csv,L24_45h_05_31__12_30_19.csv,L24_48h_05_31__15_07_43.csv,L24_51h_05_31__17_45_37.csv,L24_53h_05_31__20_23_41.csv,L24_56h_05_31__23_01_44.csv,L24_59h_06_01__01_40_10.csv,L24_61h_06_01__04_18_37.csv,L24_64h_06_01__06_57_14.csv,L24_66h_06_01__09_36_07.csv,L24_69h_06_01__12_15_18.csv,L24_72h_06_01__14_54_37.csv,L24_74h_06_01__17_34_17.csv,L24_77h_06_01__20_14_21.csv,L24_80h_06_01__22_54_21.csv,L24_82h_06_02__01_34_40.csv,L24_85h_06_02__04_15_19.csv,L24_88h_06_02__06_56_07.csv,L24_90h_06_02__09_37_13.csv,L24_93h_06_02__12_18_26.csv,L24_96h_06_02__14_59_52.csv
