drug,concentration,conc_uM,well,baseline_used,0h_bpm,3h_bpm,4h_bpm,6h_bpm,12h_bpm,24h_bpm,24h_bpm,bpm_change_from_baseline,pct_change_from_baseline,baseline_0h_file,baseline_3h_file,comparison_file,file_4h,file_6h,file_12h,file_24h
sotalol,0_313mM,0.313,O19,3h,104.76190476190467,104.34782608695645,104.34782608695645,,,46.15384615384612,46.15384615384612,-58.19397993311033,-55.769230769230774,O19_0h_05_11__23_19_50.csv,O19_3h_05_12__02_17_08.csv,O19_24h_05_13__00_24_09.csv,O19_3h_05_12__02_17_08.csv,N/A,N/A,O19_24h_05_13__00_24_09.csv
sotalol,0_313mM,0.313,O20,3h,48.529411764705834,62.686567164179046,62.686567164179046,,,98.50746268656707,98.50746268656707,35.82089552238802,57.14285714285714,O20_0h_05_11__23_20_19.csv,O20_3h_05_12__02_17_35.csv,O20_24h_05_13__00_24_33.csv,O20_3h_05_12__02_17_35.csv,N/A,N/A,O20_24h_05_13__00_24_33.csv
sotalol,0_313mM,0.313,P19,3h,59.09090909090904,99.99999999999991,99.99999999999991,,,104.54545454545445,104.54545454545445,4.5454545454545325,4.545454545454537,P19_0h_05_11__23_24_57.csv,P19_3h_05_12__02_22_15.csv,P19_24h_05_13__00_28_35.csv,P19_3h_05_12__02_22_15.csv,N/A,N/A,P19_24h_05_13__00_28_35.csv
sotalol,0_313mM,0.313,P20,3h,49.25373134328353,92.30769230769224,92.30769230769224,,,67.16417910447754,67.16417910447754,-25.143513203214695,-27.238805970149276,P20_0h_05_11__23_24_29.csv,P20_3h_05_12__02_21_47.csv,P20_24h_05_13__00_28_11.csv,P20_3h_05_12__02_21_47.csv,N/A,N/A,P20_24h_05_13__00_28_11.csv
sotalol,0_625mM,0.625,M19,3h,113.63636363636354,73.84615384615378,73.84615384615378,,,31.81818181818179,31.81818181818179,-42.02797202797199,-56.91287878787878,M19_0h_05_11__22_57_43.csv,M19_3h_05_12__01_54_59.csv,M19_24h_05_13__00_04_48.csv,M19_3h_05_12__01_54_59.csv,N/A,N/A,M19_24h_05_13__00_04_48.csv
sotalol,0_625mM,0.625,M20,3h,36.36363636363633,118.18181818181807,118.18181818181807,,,54.5454545454545,54.5454545454545,-63.636363636363576,-53.84615384615385,M20_0h_05_11__22_58_11.csv,M20_3h_05_12__01_55_26.csv,M20_24h_05_13__00_05_12.csv,M20_3h_05_12__01_55_26.csv,N/A,N/A,M20_24h_05_13__00_05_12.csv
sotalol,0_625mM,0.625,N19,3h,33.87096774193545,98.4374999999999,98.4374999999999,,,48.38709677419351,48.38709677419351,-50.05040322580639,-50.84485407066052,N19_0h_05_11__23_02_49.csv,N19_3h_05_12__02_00_03.csv,N19_24h_05_13__00_09_14.csv,N19_3h_05_12__02_00_03.csv,N/A,N/A,N19_24h_05_13__00_09_14.csv
sotalol,0_625mM,0.625,N20,3h,40.90909090909087,95.45454545454537,95.45454545454537,,,67.16417910447754,67.16417910447754,-28.290366350067828,-29.637526652452035,N20_0h_05_11__23_02_21.csv,N20_3h_05_12__01_59_35.csv,N20_24h_05_13__00_08_50.csv,N20_3h_05_12__01_59_35.csv,N/A,N/A,N20_24h_05_13__00_08_50.csv
sotalol,1_25mM,1.25,K19,0h,111.94029850746257,,,,,77.27272727272721,77.27272727272721,-34.66757123473536,-30.969696969696958,K19_0h_05_12__01_32_51.csv,N/A,K19_24h_05_12__23_45_22.csv,N/A,N/A,N/A,K19_24h_05_12__23_45_22.csv
sotalol,1_25mM,1.25,K20,0h,97.05882352941167,,,,,104.54545454545445,104.54545454545445,7.486631016042779,7.713498622589538,K20_0h_05_11__22_36_04.csv,N/A,K20_24h_05_12__23_45_47.csv,N/A,N/A,N/A,K20_24h_05_12__23_45_47.csv
