Drug,Arrhythmia_label,DIQT_prob,DIQT_pred,Organoid_prob,Organoid_pred,MoLFormer_Correct,Organoid_Correct,Both_Correct
Amiodarone,1,0.28561252,0,0.8507407407407408,1,0,1,0
Bortezomib,1,0.7929971,1,0.9,1,1,1,1
Chlorpromazine,1,0.8464537,1,0.9,1,1,1,1
Cobimetinib,0,0.51131815,1,0.18,0,0,1,0
Dactinomycin,0,0.8289792,1,0.26,0,0,1,0
Daunorubicin,0,0.06217219,0,0.28875492513790385,0,1,1,1
Doxorubicin,1,0.10090732,0,0.8266666666666667,1,0,1,0
Epirubicin,1,0.10536126,0,0.88,1,0,1,0
Erlotinib,0,0.9416723,1,0.16666666666666663,0,0,1,0
Etomoxir,0,0.106682956,0,0.06,0,1,1,1
Gemcitibine,1,0.06289518,0,0.864074074074074,1,0,1,0
Ibrutinib,1,0.61572367,1,0.8513475177304964,1,1,1,1
Ibuprofen,0,0.43556097,0,0.09333333333333334,0,1,1,1
Isoproterenol,1,0.16751379,0,0.94,1,0,1,0
Mexiletine,1,0.8801609,1,0.9466666666666669,1,1,1,1
Nifedipine,1,0.1111105,0,0.9066666666666666,1,0,1,0
Panobinostat,1,0.93460023,1,0.8913475177304965,1,1,1,1
Plicamycin,0,0.08518703,0,0.08,0,1,1,1
Rosiglitazone,0,0.027448062,0,0.1780141843971631,0,1,1,1
Sotalol,1,0.9394024,1,0.864074074074074,1,1,1,1
Sunitinib,1,0.96930504,1,0.7533333333333333,1,1,1,1
Vandetanib,1,0.9451021,1,0.8046808510638299,1,1,1,1
Vincristine,0,0.77790713,1,0.21074074074074076,0,0,1,0
Vioxx,0,0.012773785,0,0.12666666666666668,0,1,1,1
Vorinostat,0,0.18517268,0,0.15333333333333332,0,1,1,1
