Drug,CID,MolecularFormula,MolecularWeight,SMILES,Arrhythmia,heart_damage,Concern,canonical_smiles,Arrhythmia_label,heart_damage_label,CNN_25_prob,CNN_25_pred,CNN_25_correct
Amiodarone,2157,C25H29I2NO3,645.3,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2,True,True,less,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2,1,1,0.994625985622406,1,1
Bortezomib,387447,C19H25BN4O4,384.2,CC(C[C@@H](B(O)O)NC(=O)[C@@H](NC(=O)c1cnccn1)Cc1ccccc1)C,True,True,most,CC(C[C@@H](B(O)O)NC(=O)[C@@H](NC(=O)c1cnccn1)Cc1ccccc1)C,1,1,0.9834288954734802,1,1
Chlorpromazine,2726,C17H19ClN2S,318.9,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,True,True,less,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,1,1,0.9998985528945923,1,1
Cobimetinib,16222096,C21H21F3IN3O2,531.3,Ic1ccc(c(c1)F)Nc1c(ccc(c1F)F)C(=O)N1CC(C1)(O)[C@@H]1CCCCN1,False,True,most,Ic1ccc(c(c1)F)Nc1c(ccc(c1F)F)C(=O)N1CC(C1)(O)[C@@H]1CCCCN1,0,1,0.9999420642852783,1,0
Dactinomycin,457193,C62H86N12O16,1255.4,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,False,False,no,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,0,0,0.0006367908208630979,0,1
Daunorubicin,30323,C27H29NO10,527.5,COc1cccc2c1C(=O)c1c(C2=O)c(O)c2c(c1O)[C@@H](O[C@H]1C[C@H](N)[C@@H]([C@@H](O1)C)O)C[C@](C2)(O)C(=O)C,False,True,most,COc1cccc2c1C(=O)c1c(C2=O)c(O)c2c(c1O)[C@@H](O[C@H]1C[C@H](N)[C@@H]([C@@H](O1)C)O)C[C@](C2)(O)C(=O)C,0,1,0.9342527985572815,1,0
Doxorubicin,31703,C27H29NO11,543.5,OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,True,True,most,OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,1,1,0.9999476671218872,1,1
Epirubicin,41867,C27H29NO11,543.5,OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,True,True,most,OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,1,1,0.9999713897705078,1,1
Erlotinib,176870,C22H23N3O4,393.4,COCCOc1cc2c(ncnc2cc1OCCOC)Nc1cccc(c1)C#C,False,False,no,COCCOc1cc2c(ncnc2cc1OCCOC)Nc1cccc(c1)C#C,0,0,0.9999430179595947,1,0
Etomoxir,9840324,C17H23ClO4,326.8,CCOC(=O)[C@]1(CCCCCCOc2ccc(cc2)Cl)OC1,False,False,no,CCOC(=O)[C@]1(CCCCCCOc2ccc(cc2)Cl)OC1,0,0,0.03663098067045212,0,1
Gemcitibine,60750,C9H11F2N3O4,263.2,OC[C@H]1O[C@H](C([C@@H]1O)(F)F)n1ccc(nc1=O)N,True,True,less,OC[C@H]1O[C@H](C([C@@H]1O)(F)F)n1ccc(nc1=O)N,1,1,0.10436102002859116,0,0
Ibrutinib,24821094,C25H24N6O2,440.5,C=CC(=O)N1CCC[C@H](C1)n1nc(c2c1ncnc2N)c1ccc(cc1)Oc1ccccc1,True,True,most,C=CC(=O)N1CCC[C@H](C1)n1nc(c2c1ncnc2N)c1ccc(cc1)Oc1ccccc1,1,1,0.9781225919723511,1,1
Ibuprofen,3672,C13H18O2,206.28,CC(Cc1ccc(cc1)C(C(=O)O)C)C,False,True,most,CC(Cc1ccc(cc1)C(C(=O)O)C)C,0,1,0.9999538660049438,1,0
Isoproterenol,3779,C11H17NO3,211.26,CC(NCC(c1ccc(c(c1)O)O)O)C,True,True,most,CC(NCC(c1ccc(c(c1)O)O)O)C,1,1,0.9999486207962036,1,1
Mexiletine,4178,C11H17NO,179.26,CC(COc1c(C)cccc1C)N,True,False,most,CC(COc1c(C)cccc1C)N,1,0,0.9988980293273926,1,1
Nifedipine,4485,C17H18N2O6,346.3,COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OC)C,True,True,less,COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OC)C,1,1,0.0004842710623051971,0,0
Panobinostat,6918837,C21H23N3O2,349.4,ONC(=O)/C=C/c1ccc(cc1)CNCCc1c(C)[nH]c2c1cccc2,True,True,most,ONC(=O)/C=C/c1ccc(cc1)CNCCc1c(C)[nH]c2c1cccc2,1,1,0.9995193481445312,1,1
Plicamycin,163659,C52H76O24,1085.1,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,False,False,no,C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,0,0,0.10841145366430283,0,1
