Drug,Arrhythmia_label,MoLFormer_XGB_prob,MoLFormer_XGB_pred,MoLFormer_RF_prob,MoLFormer_RF_pred
Amiodarone,1,0.24777871,0,0.46,0
Bortezomib,1,0.60409456,1,0.6,1
Chlorpromazine,1,0.9080675,1,0.46,0
Cobimetinib,0,0.8539441,1,0.69,1
Dactinomycin,0,0.12915313,0,0.46,0
Daunorubicin,0,0.39390016,0,0.62,1
Doxorubicin,1,0.59355295,1,0.8,1
Epirubicin,1,0.90111387,1,0.83,1
Erlotinib,0,0.27964833,0,0.62,1
Etomoxir,0,0.07130074,0,0.48,0
Gemcitibine,1,0.8249143,1,0.44,0
Ibrutinib,1,0.7991829,1,0.62,1
Ibuprofen,0,0.8285072,1,0.69,1
Isoproterenol,1,0.63916713,1,0.52,1
Mexiletine,1,0.8005662,1,0.56,1
Nifedipine,1,0.16433577,0,0.37,0
Panobinostat,1,0.92950696,1,0.64,1
Plicamycin,0,0.12661842,0,0.46,0
Rosiglitazone,0,0.9434391,1,0.54,1
Sotalol,1,0.8095484,1,0.49,0
Sunitinib,1,0.9417165,1,0.49,0
Vandetanib,1,0.6748985,1,0.53,1
Vincristine,0,0.15052728,0,0.49,0
Vioxx,0,0.21034917,0,0.63,1
Vorinostat,0,0.16623524,0,0.57,1
