Drug,Arrhythmia_label,DIQT_prob,DIQT_pred,CNN_prob,CNN_pred
Amiodarone,1,0.28561252,0,0.94490665,1
Bortezomib,1,0.7929971,1,0.7200941,1
Chlorpromazine,1,0.8464537,1,0.97919744,1
Cobimetinib,0,0.51131815,1,0.99480826,1
Dactinomycin,0,0.8289792,1,0.010116746,0
Daunorubicin,0,0.06217219,0,0.002055125,0
Doxorubicin,1,0.10090732,0,0.04200543,0
Epirubicin,1,0.10536126,0,0.04541946,0
Erlotinib,0,0.9416723,1,0.8397464,1
Etomoxir,0,0.106682956,0,0.41496998,0
Gemcitibine,1,0.06289518,0,0.00041779722,0
Ibrutinib,1,0.61572367,1,0.70401335,1
Ibuprofen,0,0.43556097,0,0.056360394,0
Isoproterenol,1,0.16751379,0,0.14254759,0
Mexiletine,1,0.8801609,1,0.9998005,1
Nifedipine,1,0.1111105,0,0.00068343006,0
Panobinostat,1,0.93460023,1,0.9989033,1
Plicamycin,0,0.08518703,0,0.11589013,0
Rosiglitazone,0,0.027448062,0,0.7420606,1
Sotalol,1,0.9394024,1,0.99839324,1
Sunitinib,1,0.96930504,1,0.99796355,1
Vandetanib,1,0.9451021,1,0.9996518,1
Vincristine,0,0.77790713,1,0.33520624,0
Vioxx,0,0.012773785,0,0.0024996982,0
Vorinostat,0,0.18517268,0,0.027855624,0
