Equation,Target,Model,Accuracy,AUC,N_samples,Confusion_Matrix
dual_exponential,Arrhythmia,XGBoost,0.56,0.6753246753246753,25,"[[4, 7], [4, 10]]"
dual_exponential,Arrhythmia,SVM_RBF,0.52,0.44155844155844154,25,"[[3, 8], [4, 10]]"
dual_exponential,Arrhythmia,RandomForest,0.6,0.5584415584415585,25,"[[3, 8], [2, 12]]"
dual_exponential,Arrhythmia,GaussianNB,0.48,0.43506493506493504,25,"[[4, 7], [6, 8]]"
dual_exponential,heart_damage,XGBoost,0.56,0.48000000000000004,25,"[[1, 4], [7, 13]]"
dual_exponential,heart_damage,SVM_RBF,0.68,0.16999999999999998,25,"[[0, 5], [3, 17]]"
dual_exponential,heart_damage,RandomForest,0.76,0.43500000000000005,25,"[[0, 5], [1, 19]]"
dual_exponential,heart_damage,GaussianNB,0.72,0.45999999999999996,25,"[[1, 4], [3, 17]]"
dual_exponential,Concern_Binary,XGBoost,0.48,0.47333333333333333,25,"[[2, 8], [5, 10]]"
dual_exponential,Concern_Binary,SVM_RBF,0.56,0.3066666666666667,25,"[[2, 8], [3, 12]]"
dual_exponential,Concern_Binary,RandomForest,0.56,0.39,25,"[[1, 9], [2, 13]]"
dual_exponential,Concern_Binary,GaussianNB,0.6,0.6566666666666667,25,"[[7, 3], [7, 8]]"
modified_hill_hormesis,Arrhythmia,XGBoost,0.72,0.6753246753246753,25,"[[9, 2], [5, 9]]"
modified_hill_hormesis,Arrhythmia,SVM_RBF,0.68,0.5129870129870129,25,"[[6, 5], [3, 11]]"
modified_hill_hormesis,Arrhythmia,RandomForest,0.68,0.6785714285714286,25,"[[6, 5], [3, 11]]"
modified_hill_hormesis,Arrhythmia,GaussianNB,0.72,0.6103896103896104,25,"[[6, 5], [2, 12]]"
modified_hill_hormesis,heart_damage,XGBoost,0.4,0.32,25,"[[0, 5], [10, 10]]"
modified_hill_hormesis,heart_damage,SVM_RBF,0.72,0.5399999999999999,25,"[[1, 4], [3, 17]]"
modified_hill_hormesis,heart_damage,RandomForest,0.76,0.33,25,"[[0, 5], [1, 19]]"
modified_hill_hormesis,heart_damage,GaussianNB,0.48,0.33999999999999997,25,"[[1, 4], [9, 11]]"
modified_hill_hormesis,Concern_Binary,XGBoost,0.56,0.6133333333333333,25,"[[6, 4], [7, 8]]"
modified_hill_hormesis,Concern_Binary,SVM_RBF,0.64,0.5,25,"[[5, 5], [4, 11]]"
modified_hill_hormesis,Concern_Binary,RandomForest,0.64,0.49333333333333335,25,"[[3, 7], [2, 13]]"
modified_hill_hormesis,Concern_Binary,GaussianNB,0.36,0.32,25,"[[7, 3], [13, 2]]"
pkpd_elimination,Arrhythmia,XGBoost,0.72,0.7792207792207793,25,"[[8, 3], [4, 10]]"
pkpd_elimination,Arrhythmia,SVM_RBF,0.52,0.564935064935065,25,"[[6, 5], [7, 7]]"
pkpd_elimination,Arrhythmia,RandomForest,0.76,0.7954545454545454,25,"[[8, 3], [3, 11]]"
pkpd_elimination,Arrhythmia,GaussianNB,0.6,0.5844155844155844,25,"[[6, 5], [5, 9]]"
pkpd_elimination,heart_damage,XGBoost,0.6,0.45,25,"[[1, 4], [6, 14]]"
pkpd_elimination,heart_damage,SVM_RBF,0.8,0.75,25,"[[2, 3], [2, 18]]"
pkpd_elimination,heart_damage,RandomForest,0.76,0.58,25,"[[0, 5], [1, 19]]"
pkpd_elimination,heart_damage,GaussianNB,0.8,0.8150000000000002,25,"[[2, 3], [2, 18]]"
pkpd_elimination,Concern_Binary,XGBoost,0.6,0.5133333333333334,25,"[[4, 6], [4, 11]]"
pkpd_elimination,Concern_Binary,SVM_RBF,0.72,0.7,25,"[[6, 4], [3, 12]]"
pkpd_elimination,Concern_Binary,RandomForest,0.68,0.76,25,"[[5, 5], [3, 12]]"
pkpd_elimination,Concern_Binary,GaussianNB,0.76,0.8866666666666667,25,"[[6, 4], [2, 13]]"
