Target,Model,N_Folds,Seed,Accuracy,AUC,F1,MCC
Arrhythmia,RandomForest,5,0,0.76,0.7694805194805194,0.7857142857142857,0.512987012987013
Arrhythmia,RandomForest,5,1,0.64,0.737012987012987,0.7096774193548387,0.2556653716805367
Arrhythmia,RandomForest,5,2,0.72,0.7532467532467533,0.7741935483870968,0.42841224443765613
Arrhythmia,RandomForest,5,3,0.8,0.8636363636363635,0.8148148148148148,0.6000124873825419
Arrhythmia,RandomForest,5,4,0.76,0.8376623376623377,0.7857142857142857,0.512987012987013
Arrhythmia,RandomForest,5,5,0.8,0.8409090909090909,0.8148148148148148,0.6000124873825419
Arrhythmia,RandomForest,5,6,0.72,0.7922077922077922,0.7586206896551724,0.4276686017238498
Arrhythmia,RandomForest,5,7,0.76,0.8214285714285714,0.7857142857142857,0.512987012987013
Arrhythmia,RandomForest,5,8,0.68,0.8181818181818181,0.75,0.3445843938031584
Arrhythmia,RandomForest,5,9,0.72,0.788961038961039,0.7407407407407407,0.4387188079786328
heart_damage,GaussianNB,5,0,0.8,0.8150000000000002,0.8780487804878049,0.3273268353539886
heart_damage,GaussianNB,5,1,0.8,0.8250000000000001,0.8780487804878049,0.3273268353539886
heart_damage,GaussianNB,5,2,0.8,0.8049999999999999,0.8780487804878049,0.3273268353539886
heart_damage,GaussianNB,5,3,0.8,0.8200000000000001,0.8780487804878049,0.3273268353539886
heart_damage,GaussianNB,5,4,0.8,0.8150000000000002,0.8780487804878049,0.3273268353539886
heart_damage,GaussianNB,5,5,0.8,0.8200000000000001,0.8780487804878049,0.3273268353539886
heart_damage,GaussianNB,5,6,0.84,0.845,0.9047619047619048,0.43082021842766455
heart_damage,GaussianNB,5,7,0.88,0.885,0.9302325581395349,0.5897678246195885
heart_damage,GaussianNB,5,8,0.8,0.8300000000000001,0.8780487804878049,0.3273268353539886
heart_damage,GaussianNB,5,9,0.8,0.8250000000000001,0.8780487804878049,0.3273268353539886
Concern_Binary,GaussianNB,5,0,0.76,0.9,0.8235294117647058,0.4970674233862172
Concern_Binary,GaussianNB,5,1,0.72,0.8866666666666667,0.7741935483870968,0.40824829046386296
Concern_Binary,GaussianNB,5,2,0.72,0.9,0.7741935483870968,0.40824829046386296
Concern_Binary,GaussianNB,5,3,0.8,0.9266666666666666,0.8484848484848485,0.5819143739626463
Concern_Binary,GaussianNB,5,4,0.64,0.76,0.7272727272727273,0.21821789023599236
Concern_Binary,GaussianNB,5,5,0.8,0.96,0.8484848484848485,0.5819143739626463
Concern_Binary,GaussianNB,5,6,0.8,0.9133333333333333,0.8387096774193549,0.5783517448238059
Concern_Binary,GaussianNB,5,7,0.76,0.92,0.8125,0.49009802940980346
Concern_Binary,GaussianNB,5,8,0.72,0.7733333333333333,0.7878787878787878,0.40006613209931935
Concern_Binary,GaussianNB,5,9,0.68,0.8266666666666667,0.75,0.31506301890630223
