Cumulative_Features,Drug A,Drug B,Drug C,Drug D,Drug E,Drug F,Drug G,Drug H,Drug I,Drug J,Drug K,Drug L,Drug M,Drug N,Drug O,Drug P,Drug Q,Drug R,Drug S,Drug T,Drug U,Drug V,Drug W,Drug X,Drug Y
Feature 1,21.476185136384114,20.883834690996757,28.211765373225326,28.712220312271867,18.878523450872386,11.429683381313872,21.351062333552218,15.807415850988047,25.84394624799534,10.854565732394057,10.902053966749023,4.103879005146505,19.82819743342144,25.58760777892353,25.093802272722975,18.3424640889923,1.9206324258378213,4.94710098143266,9.385955893591115,4.597301483147242,8.692071435490329,16.120810872523315,9.02118029920572,16.06862761110179,5.80624192111358
Feature 1 + Feature 2,26.18591576651221,18.24548785494894,38.23059005415547,17.840638929966115,33.50854423050426,16.425437956087023,25.23853115020393,13.89010444485245,30.232964848134714,15.582655410471201,19.559914296378473,11.001265310778843,19.528521851201795,23.825940685265333,26.764406201210214,24.71441868645406,3.74283299223472,7.189048629842485,11.074075939775948,1.9716161176412674,13.137444785762934,15.631028340946036,7.470667052764636,10.294572869892939,13.332334159042674
Feature 1 + Feature 2 + Feature 3,34.34184179895151,22.044787859885687,33.1562387254104,25.510889428583376,23.410571687371913,7.006359428306843,40.36304132618084,27.068946698527938,32.37762750039508,27.521874530635554,31.75535622380113,16.60062394758359,23.00564679997782,32.07891723350639,18.07959567534936,23.005675408904967,0.26654882393890045,12.141105170798951,12.088292609356238,2.2387928609968086,11.201739900292319,18.787318126700715,14.571391742346421,21.20071935735114,18.657281008202094
Feature 1 + Feature 2 + Feature 3 + Feature 4,48.80466778397394,22.365928542128422,39.35102704574856,35.322021840371235,40.73476762075692,21.787575546625956,46.7272718865382,34.93301917110896,32.55437897624326,43.649993825372555,40.8188809772999,24.992515488397938,25.977854241004827,36.52175359406564,25.193503297261124,21.66910868672322,6.7700901035524845,9.445314410622274,13.927323561056296,3.734606020596085,15.134775482116153,16.839203863661417,16.1650844336635,19.78081441789169,16.11704320589734
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5,48.99927103643835,24.17323259512664,40.22633495809224,35.63533840208662,53.46882874580988,23.431967243619145,62.75352309768821,38.26522182239717,36.42842536443203,58.033558888190285,52.81944283690896,29.93550691799569,27.885580317211627,41.90175084210883,22.287899399139672,27.10736310917381,5.577528797099742,11.71245989418762,16.963854064491812,5.679057147978305,17.872161264473515,21.379302456828952,18.16279741684264,15.620405846494894,16.691309942496762
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6,55.03589858453844,30.04101461856861,46.67990696062995,38.753107574270715,57.356764842366566,28.21403764526398,72.07271455312254,46.98457448131798,40.45650109547738,59.576445796687786,64.58231440613345,38.00534901843664,32.13831148202346,46.786181333263706,27.372718238813892,29.323880215468026,4.547616858626819,13.772242022260608,12.227269916644332,3.069538859743587,19.06851066708722,16.439784272212353,18.346410236352973,12.65311261873007,18.68099012094537
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7,61.77293354382239,34.006018159369404,54.79196130821078,42.62634756118533,68.56646690813636,41.85195643579608,74.06716041945361,50.19271336742691,44.67658578252808,73.92699071894499,70.65672176477713,47.23880492458211,30.14391968309464,41.974199537338336,31.45402701068226,33.08170047390993,7.073669424926036,15.38614448497754,16.295015886557113,9.856062632563958,22.9775605299982,19.94113597823128,16.941348228217635,14.771088756903932,22.602465716640495
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8,63.84130908948971,42.40333771901523,50.563323183439344,56.169954511117325,67.49242600720841,46.07655663378167,70.67420197082612,49.49588830850862,44.98256961154301,73.07241008784014,72.26742495613236,49.135065807255096,27.691152100713555,53.29162087513204,23.16545551845766,32.863400335386984,6.576773472790981,11.57880006853779,18.9776875965925,8.198232090106949,21.771736221832136,18.590468936009092,22.214593650173104,15.99460154173969,19.467843060662624
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9,67.46460099102724,43.54912016026002,53.46523233948145,55.812972007220125,71.43990198672388,43.977224794169516,79.97734023763283,54.06734428852464,51.33202499867248,78.35473584263048,72.53498892430278,48.87165168428536,35.013912334393616,53.49731805880192,31.39781189508036,38.54649994474845,8.74480661313307,16.006816961240453,19.70010452067433,9.823706730745787,26.034141463082936,21.22162598467777,21.63276431249604,15.56836384412483,24.258451405530078
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9 + Feature 10,69.33521852313625,57.76392408032277,53.97612607945375,62.044266829345,74.53872965860438,52.638478465931755,84.48642296248997,53.26221783252027,53.601745250274774,80.10141762053809,71.0013429986252,55.272180585608325,35.16089835892984,54.31540742936716,29.662939236062787,38.915832732034474,9.020544176365297,13.211796719385884,16.325780411947004,10.17495324573736,24.78951517768212,20.756172313696947,23.916451965297703,16.343225059117096,19.74193456669477
