Cumulative_Features,Drug A,Drug B,Drug C,Drug D,Drug E,Drug F,Drug G,Drug H,Drug I,Drug J,Drug K,Drug L,Drug M,Drug N,Drug O,Drug P,Drug Q,Drug R,Drug S,Drug T,Drug U,Drug V,Drug W,Drug X,Drug Y
Feature 1,24.020638574866844,23.61982205716182,34.04664212861897,13.579274992460247,29.848807838128717,18.41593807570094,32.75884625048425,34.60104592209769,32.50286501842639,26.104228880678793,20.790852429257644,21.561166842462047,37.03973906338209,27.80965741333894,12.062206696910993,25.58590154782848,8.878806109626016,0.0,2.5632560831605193,2.974727225108365,8.732586033729344,19.130736802730393,5.629948932909958,14.821381628520507,6.338283172000734
Feature 1 + Feature 2,26.123736351103727,32.517821230041314,27.014180520703444,17.68848049500255,32.24770372292315,31.35697406122032,34.02211696267398,34.61581214858064,36.89854208791731,25.74398821344734,18.595169429481977,22.111956477173447,40.564665976111705,33.76160412483955,20.103487168489956,22.828162368566105,10.404816727278877,3.8698893866129236,5.339914840335608,8.227408826957241,11.057689858719874,21.878834457700233,6.753825578386537,18.19216593511327,10.344831619548287
Feature 1 + Feature 2 + Feature 3,28.78212753705244,31.505037002419336,24.688503920849463,23.518866478934026,32.03649562451505,32.73021625780084,40.70398967024216,32.29197122137986,35.85322729818425,30.41409634419083,21.175197434989197,35.221696658598745,46.38858613864773,28.582669789814368,19.823442364958957,28.656492558146997,14.100351166842229,7.461651406008534,6.97100655046485,14.062402569058287,16.924707053348083,20.067253637958753,12.605773668624714,15.665656430284878,6.107461534479141
Feature 1 + Feature 2 + Feature 3 + Feature 4,32.404860318186884,37.13831790774228,28.966992163479766,42.03611693092897,39.46039726642738,40.44005014372823,37.58991817700916,36.69494182283145,39.38382682888662,29.952223841805043,33.05116336059813,43.51263354734568,44.84729636674952,31.733156499692488,16.330993410187695,26.383513694549254,16.13794944228777,7.823012869957913,10.089441358061634,15.022317228542876,15.253054932660083,22.05296943711982,11.415754646001277,22.16563221598511,8.807496421830518
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5,46.38968173668228,45.505717982558664,32.100373088644425,37.504161575534525,44.497261118946746,53.514162780972214,44.25307193208346,46.47043053952004,49.43255314252339,36.208459560266306,32.868268590016086,56.69735241129084,52.16294107395765,31.762156389774688,22.75264392993333,24.41001268138313,16.128341413587197,10.585628493902869,9.700165403028459,16.691005318524745,18.49676264099886,20.926873888461728,15.89751789627991,21.941730595557676,8.857552389795499
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6,54.246440384552066,46.87182943108412,43.26458637633552,56.575051395170654,54.68752277856254,54.68276063139609,51.12374456013956,48.090307014791314,51.67991801214463,39.1518880668879,45.9313635412151,67.85763131614239,59.47899616833384,31.759145343014907,26.59229129682451,33.222354176008125,15.736359267008115,10.82410045942592,8.782212445785923,21.12945343947022,19.478212824572985,20.491825739254647,15.51038511666835,20.999821844533145,10.155790548637887
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7,62.91731274963496,62.05707727992011,45.57933168456777,60.18492619497264,60.227989400441885,60.34274501489137,55.397921328711085,53.286018912199275,58.972119624196864,46.83290809983057,50.31511786078205,75.08291405469426,62.17185878438131,29.834859584111243,27.704715282493527,30.386873968160575,19.466688436450557,12.163293186492135,9.91087498094051,25.346708575942607,21.601535754725823,21.90651253425947,19.863047840942453,25.318306926970823,12.187137516185327
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8,72.75649683006955,72.12955522083412,48.63074857055681,81.46334175223446,64.95141724461071,64.20797543102351,64.48769353601597,56.88448525441254,69.69333676229327,53.81699326388282,59.59929690339778,79.95735867675407,70.85674888634162,34.467774160558264,28.90086129241347,35.902393024345486,16.878767898500236,11.117934516875103,3.983839706544857,22.032159604524757,24.196631084632962,19.740196776328787,18.367013025752335,24.878727984385,10.05367163121192
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9,82.50335818764147,79.59570048175672,51.81885826276634,85.45847240591146,67.24188529713231,58.064833067210756,60.70541306531009,63.31207282230098,77.05833775632122,64.14796768203432,55.15828637255114,81.97628813353572,68.29088521459396,37.20580475653155,35.271690054147825,36.12455688731558,18.57481919021303,14.798410499506542,8.68821659432841,28.189842014150145,28.15101902122542,18.33488122943203,22.578640747019005,28.87686405536917,10.868168767451385
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9 + Feature 10,86.17430016751238,80.3731413659823,53.423524035725286,80.00389834905502,68.6929412881539,58.77289908548674,65.59869584230134,63.451365374560154,82.46612934565923,64.02874869401724,61.65146204111602,85.63652482966273,71.89960839823107,30.29888392689224,34.1250944939196,40.24826992614494,20.33407223011331,13.8188051149986,9.318297320817361,27.81631908345951,23.163254986793,20.455265038201475,22.39021382506147,28.343834433961145,10.527522218810581
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9 + Feature 10 + Feature 11,87.41064608755886,84.93354758810507,54.10174319992167,84.5312042448996,68.84027280094988,64.56670345720383,65.5599106137881,67.71978465694637,84.7216118948703,69.17113295053511,57.505836350468016,87.86186915476674,72.37417852716513,34.504469088935146,38.17531696185421,45.07587997260556,21.678247430326866,17.042010369705533,11.362638878251598,30.623051845073057,28.96878533609923,18.593671716249887,27.08432871453889,29.447117437612555,13.055188949139811
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9 + Feature 10 + Feature 11 + Feature 12,86.12081023494194,84.47540251415931,55.194644824656045,88.57891342040266,66.28768782211716,63.373600796936515,67.45889501346852,66.52402341712435,85.69837840910766,70.5145376386109,63.20392265985882,85.98137573520238,72.76982555299752,32.94771521962623,35.56147813895069,47.16203648089935,18.78679399033371,19.397393604369388,9.554904521550672,30.73910826872921,28.878252793493424,19.410257604007192,25.960655138062,28.484212286155277,12.980564139001196
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9 + Feature 10 + Feature 11 + Feature 12 + Feature 13,88.83434743075775,86.73109836028647,58.037860069565156,87.48586970284286,66.98825503463605,61.93291192647256,68.9301324391541,67.1111388861502,86.02528775884441,71.26475229319303,61.323047072457584,87.02692726811142,72.19570019860838,35.25254169658359,37.737515039460796,45.98157586585998,20.24421727284173,19.511870689374224,10.787390396697292,31.67983620581529,33.421739941932266,22.5184542104648,28.419188717805657,28.968366640745984,9.667823584786849
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9 + Feature 10 + Feature 11 + Feature 12 + Feature 13 + Feature 14,89.41823400224509,84.15488911489176,56.5855176997798,85.89224781996866,70.56226235010969,62.62307359894495,68.4784087783023,68.1741249403083,84.96106353695508,73.49882357809621,60.18183422954379,89.28357834723336,72.95397761484165,33.44372285334412,40.535138261985985,49.76641001863728,21.278821901453846,23.229158077312032,8.93394254631094,36.372330942953496,31.034958779664873,22.326549235551912,28.266338259671862,30.11278222434657,14.636241276890077
