Cumulative_Features,Drug A,Drug B,Drug C,Drug D,Drug E,Drug F,Drug G,Drug H,Drug I,Drug J,Drug K,Drug L,Drug M,Drug N,Drug O,Drug P,Drug Q,Drug R,Drug S,Drug T,Drug U,Drug V,Drug W,Drug X,Drug Y
Feature 1,9.80283745260922,6.161075637420139,6.110419066741697,0.7248367408338781,2.5689484890917917,6.92924574521709,3.8621225288176935,9.922415784890731,6.329965625313361,0.2011703802674374,7.070309496312063,6.862549603362428,5.985632771500106,1.3994288967377968,6.942622518244381,6.71270623776923,12.656969865706877,8.33825892163364,0.0,0.9244904951777742,0.0,0.0,3.9365271716677674,4.2184182811924344,3.3711802797756585
Feature 1 + Feature 2,3.527149684850557,7.692203749000523,2.527148867667175,0.0,1.1940969663582957,0.0,2.5915608726494277,5.470980515983426,4.824524647164104,5.6314871554427945,6.4603886745846655,13.83714555571672,0.0,5.9615914666631,8.508689176472165,12.96540637731086,8.048579588806172,5.408982877907491,0.0,0.0,1.2861775626940255,3.19204203718349,3.3490783870346896,5.979924872035182,2.965420074233873
Feature 1 + Feature 2 + Feature 3,6.898717933139711,5.755347435764392,1.8483334425769884,2.2214271606853337,9.634864522442832,3.3722567540427226,0.0,12.105192235976164,9.193893621089659,4.071261650516675,10.471868582745522,16.89820852120088,6.417724153288438,9.050552344584473,12.128042827080513,15.372202438264658,13.022105716540919,11.509295943724602,0.0,0.0,3.2423305725133833,0.0,1.9265502139571011,5.663332642739911,0.3469945943125978
Feature 1 + Feature 2 + Feature 3 + Feature 4,14.301958813202464,13.50641936245211,1.0497539364161272,0.0,0.7831524934306362,12.755674706524191,4.142781092056624,14.273328274308106,15.496590285442178,0.0,11.809447712618418,16.382317635235715,5.869793780959247,12.195542346921272,14.256128374796809,26.742037494146796,18.982861587313025,17.40323365956131,0.0,0.0,1.4652366967038477,0.0,0.7524909355845719,2.763192063853856,1.8799428577294726
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5,15.87764748594233,25.151603932585356,4.5551469328887,11.951880843710775,4.15235327497958,14.562729444146731,2.9490444901834216,23.444597744350176,16.990923360913946,9.013922520751438,24.068548233948427,30.531850722973257,8.276564704658792,20.4610266317779,22.244005321213,25.934362177315542,21.516670315440773,20.975305372211245,0.0,0.0,3.7647735645483755,2.05455546903505,4.3548074112249715,1.1720150880360563,4.382615432115408
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6,23.115383566593316,29.37304724201306,10.382618634702695,10.411930278476454,13.38762231976698,16.932183493110873,9.630864152484104,27.10009100860664,20.60439924020127,15.609962993823988,29.662061083024135,31.740039855189202,12.571210107129254,21.01973147839812,29.429506364042872,40.4612611943213,30.093824989291157,22.348081540685875,0.0,0.0,2.251437335864943,0.0,5.362320906662775,6.533568397325077,1.8150148959649761
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7,28.54466047980824,40.43129505494116,13.606455026688925,11.220239287525342,15.273928220923585,26.655877544207566,15.458329512604545,30.44792158235559,26.1679319122922,17.493649105966636,35.93370076642651,34.211058869033465,16.92950597642689,24.15831311409744,28.772600140796445,40.41716536083198,34.18744106268591,29.866725460040126,0.0,0.0,4.588217314606352,4.03573570833437,2.7582907319468037,0.0,2.7581434260153115
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8,29.732585531505,45.49774658207751,23.618709965427836,17.777083799089088,20.234940189821593,19.867653336237662,21.57443075781771,39.90194395594834,25.113754067925623,16.86598158624622,37.02631728229728,33.61710331760136,22.867669719238137,27.963361613923084,26.73782423526539,44.381361529195026,38.23083905877705,28.320927409895265,0.0,1.3599230370629245,6.5626990170717034,0.6620861412248671,4.309263743760225,3.174342859143146,0.0
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9,30.096983275101977,51.92152314197138,29.785026032606144,21.57933400235507,19.45914689148147,22.31281703424891,31.789448075814743,38.56357841632848,27.50950799456066,22.717882656513794,40.155896079914946,40.79575792323128,19.134023694426947,28.219459918275533,27.109420719596578,45.324398989834684,39.86634405395551,32.9517352678979,0.8382200588734274,5.239406005252291,4.409151115111543,1.9090134994707384,1.9012583573108044,1.225860041251726,4.120645221755884
Feature 1 + Feature 2 + Feature 3 + Feature 4 + Feature 5 + Feature 6 + Feature 7 + Feature 8 + Feature 9 + Feature 10,32.77910628586018,51.49045016789816,31.253259803951327,24.521083619729623,24.105097435265844,26.53451315455486,32.363087385971724,37.47633590439996,27.465457298465896,18.302689624162003,43.512450986797866,40.75943584627445,21.138565006596348,31.158101855867514,31.244052527646627,43.598550594309096,38.87335331697702,33.4113157995201,4.889168796157376,0.1985716402197042,6.45691997183831,1.3707466227076923,5.30993698017903,3.0378640775467134,2.3234924021521675
