Surface,Equation,Variant,Drug,Z_Range,File
1,dual_exponential,v1,Chlorpromazine,15.208872322967522,Chlorpromazine_Surface_1.png
1,dual_exponential,v2,Doxorubicin,20.88415014073616,Doxorubicin_Surface_1.png
1,dual_exponential,v3,Mexiletine,26.52685844505102,Mexiletine_Surface_1.png
1,dual_exponential,v4,Ibuprofen,34.60760652412563,Ibuprofen_Surface_1.png
1,dual_exponential,v5,Amiodarone,42.204519617573666,Amiodarone_Surface_1.png
5,gaussian_ridge,v1,Chlorpromazine,17.229583299180923,Chlorpromazine_Surface_5.png
5,gaussian_ridge,v2,Ibrutinib,23.44132518999357,Ibrutinib_Surface_5.png
5,gaussian_ridge,v3,Amiodarone,34.29961621680822,Amiodarone_Surface_5.png
5,gaussian_ridge,v4,Cobimetinib,42.351645523278535,Cobimetinib_Surface_5.png
5,gaussian_ridge,v5,Vandetanib,77.90462589253849,Vandetanib_Surface_5.png
11,pkpd_elimination,v1,Chlorpromazine,5.3817086006428205,Chlorpromazine_Surface_11.png
11,pkpd_elimination,v2,Daunorubicin,11.80554261057485,Daunorubicin_Surface_11.png
11,pkpd_elimination,v3,Ibrutinib,17.73546520771843,Ibrutinib_Surface_11.png
11,pkpd_elimination,v4,Ibuprofen,26.441373019554348,Ibuprofen_Surface_11.png
11,pkpd_elimination,v5,Cobimetinib,33.3039570832119,Cobimetinib_Surface_11.png
12,hormesis_v0,v1,Vioxx,11.548179727755056,Vioxx_Surface_12.png
12,hormesis_v0,v2,Erlotinib,19.25968599663014,Erlotinib_Surface_12.png
12,hormesis_v0,v3,Etomoxir,22.46183058347079,Etomoxir_Surface_12.png
12,hormesis_v0,v4,Epirubicin,26.717831822751258,Epirubicin_Surface_12.png
12,hormesis_v0,v5,Gemcitibine,38.21661398028564,Gemcitibine_Surface_12.png
