Surface,Equation,Variant,Drug,Z_Range,File
1,dual_exponential,v1,Chlorpromazine,15.208872322967522,Surface_1_v1.png
1,dual_exponential,v2,Doxorubicin,20.88415014073616,Surface_1_v2.png
1,dual_exponential,v3,Mexiletine,26.52685844505102,Surface_1_v3.png
1,dual_exponential,v4,Ibuprofen,34.60760652412563,Surface_1_v4.png
1,dual_exponential,v5,Amiodarone,42.204519617573666,Surface_1_v5.png
5,gaussian_ridge,v1,Chlorpromazine,17.229583299180923,Surface_5_v1.png
5,gaussian_ridge,v2,Ibrutinib,23.44132518999357,Surface_5_v2.png
5,gaussian_ridge,v3,Amiodarone,34.29961621680822,Surface_5_v3.png
5,gaussian_ridge,v4,Cobimetinib,42.351645523278535,Surface_5_v4.png
5,gaussian_ridge,v5,Vandetanib,77.90462589253849,Surface_5_v5.png
11,pkpd_elimination,v1,Chlorpromazine,5.3817086006428205,Surface_11_v1.png
11,pkpd_elimination,v2,Daunorubicin,11.80554261057485,Surface_11_v2.png
11,pkpd_elimination,v3,Ibrutinib,17.73546520771843,Surface_11_v3.png
11,pkpd_elimination,v4,Ibuprofen,26.441373019554348,Surface_11_v4.png
11,pkpd_elimination,v5,Cobimetinib,33.3039570832119,Surface_11_v5.png
12,hormesis_v0,v1,Vioxx,11.548179727755056,Surface_12_v1.png
12,hormesis_v0,v2,Erlotinib,19.25968599663014,Surface_12_v2.png
12,hormesis_v0,v3,Etomoxir,22.46183058347079,Surface_12_v3.png
12,hormesis_v0,v4,Epirubicin,26.717831822751258,Surface_12_v4.png
12,hormesis_v0,v5,Gemcitibine,38.21661398028564,Surface_12_v5.png
