Figure_ID,Letter,Description,PNG_Path,Excel_Path,Source_Script,External,Width_In,Height_In,Notes,Left_In,Top_In,Display_Width_In,Display_Height_In
1,,Pipeline Schematic (Placeholder),Output/PowerPoint_Figures/Fig_1/Fig_1.png,,generate_paper_figures.py,False,3.4,1.7,External schematic to be added,0.278,0.858,6.55,2.422
2,i,SNR Quality Analysis,Output\PowerPoint_Figures\Fig_2\Fig_2i.png,Output\PowerPoint_Figures\Fig_2\Fig_2i_data.xlsx,generate_paper_figures.py,False,3.4,2.04,"Stacked bars: QC range (blue) on bottom, out-of-range (red) on top. SNR 0.4 threshold line.",4.792,5.486,2.326,1.292
3,a,"Epirubicin Heatmaps (O2 Mean + Contractility, sorted LOWESS w=16)",Output\PowerPoint_Figures\Fig_3\Fig_3a_1.png,,generate_paper_figures.py,False,4.960000000000001,1.86,STALE ROW — superseded by per-drug entries below (rows a_Dactinomycin etc.),0.288,1.098,1.84,1.0
3,b,2x2 Surface Equation Examples,Output\PowerPoint_Figures\Fig_3\Fig_3b_1.png,,generate_paper_figures.py,False,6.0,5.0,STALE ROW — superseded by per-drug entries below (rows b_Mexiletine etc.),2.158,1.098,3.712,1.0
3,c,R² Equation Comparison,Output/PowerPoint_Figures/Fig_3/Fig_3c.png,Output/PowerPoint_Figures/Fig_3/Fig_3c_data.xlsx,generate_paper_figures.py,False,12.0,6.0,,5.733,1.192,0.81,0.81
3,d,LOOCV Accuracy vs AUC — 12 Equations (3-panel strip),Output/PowerPoint_Figures/Fig_3/Fig_3d.png,Output/PowerPoint_Figures/Fig_3/Fig_3d_data.xlsx,generate_paper_figures.py,False,24.0,8.0,"Panels: Arrhythmia/XGBoost, Heart Damage/GaussianNB, Concern/GaussianNB. 12 equations, spectral colors.",0.213,2.268,1.622,1.149
3,e,Vandetanib O2 + Daunorubicin Contractility (Individual Wells vs PKPD Model),Output/PowerPoint_Figures/Fig_3/Fig_3e_O2.png,Output/PowerPoint_Figures/Fig_3/Fig_3e_data.xlsx,generate_paper_figures.py,False,3.06,3.06,Two images: Fig_3e_O2.png (Vandetanib) + Fig_3e_Contractility.png (Daunorubicin),2.083,2.293,3.761,1.124
4,,O2 3D Surface Grid,Output\PowerPoint_Figures\Fig_4\Fig_4.png,Output\PowerPoint_Figures\Fig_4\Fig_4_data.xlsx,generate_paper_figures.py,False,7.09,7.0,,0.455,0.583,1.22,1.22
5,,Contractility 3D Surface Grid,Output\PowerPoint_Figures\Fig_5\Fig_5.png,Output\PowerPoint_Figures\Fig_5\Fig_5_data.xlsx,generate_paper_figures.py,False,7.09,7.0,,0.455,0.583,1.22,1.22
6,a,Arrhythmia ROC Curve,Output/PowerPoint_Figures/Fig_6/Fig_6a.png,Output/PowerPoint_Figures/Fig_6/Fig_6a_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,0.3,0.8,1.7,1.7
6,b,Arrhythmia Confusion Matrix,Output/PowerPoint_Figures/Fig_6/Fig_6b.png,Output/PowerPoint_Figures/Fig_6/Fig_6b_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,2.15,0.8,1.7,1.7
6,c,Arrhythmia Performance Metrics,Output/PowerPoint_Figures/Fig_6/Fig_6c.png,Output/PowerPoint_Figures/Fig_6/Fig_6c_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,4.0,0.8,1.7,1.7
6,d,Arrhythmia Threshold Analysis,Output/PowerPoint_Figures/Fig_6/Fig_6d.png,Output/PowerPoint_Figures/Fig_6/Fig_6d_data.xlsx,generate_paper_figures.py,False,1.55,1.87,,0.3,2.65,1.55,1.87
6,e,Arrhythmia Cumulative Features,Output/PowerPoint_Figures/Fig_6/Fig_6e.png,Output/PowerPoint_Figures/Fig_6/Fig_6e_data.xlsx,generate_paper_figures.py,False,2.47,1.78,,2.0,2.65,2.47,1.78
6,f,Arrhythmia SHAP Aligned Pairs,Output/PowerPoint_Figures/Fig_6/Fig_6f.png,Output/PowerPoint_Figures/Fig_6/Fig_6f_data.xlsx,Output/SHAP_Data/shap_aligned_pairs_all.py,False,3.4,1.7,,0.32,4.66,3.4,1.7
6,g,Arrhythmia MoLFormer ROC Comparison,Output/PowerPoint_Figures/Fig_6/Fig_6g.png,Output/PowerPoint_Figures/Fig_6/Fig_6g_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,4.14,4.616,1.7,1.7
6,h,Arrhythmia MoLFormer Metrics Comparison,Output/PowerPoint_Figures/Fig_6/Fig_6h.png,Output/PowerPoint_Figures/Fig_6/Fig_6h_data.xlsx,generate_paper_figures.py,False,3.06,1.7,,0.42,6.61,3.0,1.7
7,a,HeartDamage ROC Curve,Output/PowerPoint_Figures/Fig_7/Fig_7a.png,Output/PowerPoint_Figures/Fig_7/Fig_7a_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,0.3,0.8,1.7,1.7
7,b,HeartDamage Confusion Matrix,Output/PowerPoint_Figures/Fig_7/Fig_7b.png,Output/PowerPoint_Figures/Fig_7/Fig_7b_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,2.15,0.8,1.7,1.7
7,c,HeartDamage Performance Metrics,Output/PowerPoint_Figures/Fig_7/Fig_7c.png,Output/PowerPoint_Figures/Fig_7/Fig_7c_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,4.0,0.8,1.7,1.7
7,d,HeartDamage Threshold Analysis,Output/PowerPoint_Figures/Fig_7/Fig_7d.png,Output/PowerPoint_Figures/Fig_7/Fig_7d_data.xlsx,generate_paper_figures.py,False,1.55,1.87,,0.3,2.65,1.55,1.87
