Feature,Importance
A_benefit_Contractility,0.10887329833334243
nt_Contractility,0.10647508761835794
A_tox_Contractility,0.07333570940822184
tau_t_Contractility,0.06963906378903824
kt_O2,0.05817688952031897
mb_Contractility,0.05795570477248356
A_tox_O2,0.056725281366118596
tau_t_O2,0.0555808425547944
kb_O2,0.05293977111346779
tau_b_Contractility,0.05264407599384847
tau_b_O2,0.048787433370066406
R0_Contractility,0.04452636835406233
kb_Contractility,0.0383333866833733
nb_O2,0.038307786288652834
nt_O2,0.026045517956893773
mt_Contractility,0.02568225415905191
mt_O2,0.024576321823062616
kt_Contractility,0.02014791781391544
R0_O2,0.015238646086135187
mb_O2,0.009101190708996084
A_benefit_O2,0.008736398763186513
nb_Contractility,0.008171053522611334
