Drug,R0_Contractility,E_benefit_Contractility,E_tox_Contractility,kappa_b_Contractility,kappa_t_Contractility,tau_b_Contractility,tau_t_Contractility,n_b_Contractility,n_t_Contractility,m_b_Contractility,m_t_Contractility,R0_O2,E_benefit_O2,E_tox_O2,kappa_b_O2,kappa_t_O2,tau_b_O2,tau_t_O2,n_b_O2,n_t_O2,m_b_O2,m_t_O2
Bortezomib,0.8809498873691414,-1.734788118336541,-1.1412408565985523,-0.36149094873274423,-0.5066426424954117,-0.4006158224066816,-0.3225810014461261,0.7395062098940363,-1.2385578137832143,1.4258149089493122,0.715629121836026,-1.3461435961088242,-0.559623073911045,-0.13778149078481555,0.28422026807741896,-1.0979011049766279,-0.4333389326756057,-0.3614669942261999,-1.254936119030326,2.3777362321805273,1.3120937811085434,-0.24940572413110726
Doxorubicin,0.2782086910141514,0.7736175317369636,-0.69317119530762,-0.6389100773884788,-0.5234503927667588,0.9990680529016472,2.1638942220538264,-2.286220119823775,1.8703656371750987,-0.7120636955913948,-0.4944434941394139,1.035920045594768,-0.7978699432766159,-0.23173512051085707,0.026355988727205827,0.7761666046393199,-0.49446469751511085,-0.3662959264062303,0.4404466034121825,-0.28843831096912825,-0.7356336347908718,-0.25486189634729506
Epirubicin,-0.08788964639630448,0.7736175317369094,-0.007766139046363314,0.9101893187526412,-0.24620412976286893,-1.34813672827966,-1.1822792008651601,0.7375016062283841,0.758256330385823,0.07668485390382442,-0.034040790375546796,1.0359195424306946,-0.24399650255651964,-0.21731762395832022,-0.6811306185529412,0.25267846537585065,0.08124882437752137,-0.4876140356601065,0.871670092013642,-0.4630645935355865,1.3120937820128864,-0.24394955191491943
Ibrutinib,0.5639198774187894,0.7736175317369636,0.34381766346467646,-0.6457478248402261,-0.5186357537901539,1.376471160228173,1.869029373443224,0.7395142212330466,-0.5076879432276833,-0.7120636955913948,-0.7420217549974416,-1.1208903126903886,-0.3636627810134468,-0.16123138702534154,-1.048963698631014,-0.88716986186363,-0.012893949402511762,-0.5621966382885438,-0.49564532206770384,0.9508145481487057,1.3120937820130978,-0.24122146580682552
Isoproterenol,-0.08261769784675307,0.7730619069586911,0.2519471309007946,-0.6468908824571441,-0.5038789656640796,-0.11992059666766854,0.1550485897650063,0.7391748925928613,0.5632733321345487,1.3696065795663006,0.893906584666688,-1.5852560765401424,-0.5304854803135503,-0.18939997901782427,1.3307313949243558,-1.068586407693423,-0.9132304714043151,-0.6587350217782839,1.240671909834446,3.453657196468353,-1.0929746057373972,-0.2588517222803824
Panobinostat,0.5406172007443897,0.7736175317369636,0.06668995264653167,-0.37725941372206306,-0.4152830863697191,-0.2000163598807004,-0.4317811660348446,-1.5526448402161726,-0.8068772649078405,-0.48887732520810884,-0.48737307270281705,-1.0841993777854562,-0.6304173377917036,-0.20823291004297445,-0.7527262795167347,-0.175137443961821,-0.3331444297856483,-0.6453718425353422,0.8249570500191428,0.49367542726190106,1.3120937820130938,-0.25714666846282375
Sotalol,0.09226651484198338,0.7736175317368553,0.38825276778379225,-0.6354928389895759,-0.5179379213302443,1.2186937476726094,1.303373673624869,0.739514221049449,0.18793528238192883,-0.42692234051889544,-0.6181568559600131,0.023820787553179602,1.2450575854758665,-0.18949836794640026,-0.9164883491160016,-1.1332246294804358,0.051889675829600995,-0.478284808788896,-0.8224408574555021,-0.8578261204789087,-1.1339927574124864,-0.15017159194919133
Sunitinib,0.36236195561677437,0.7736175317369365,1.0297383254615928,-0.5652937034154839,-0.5047303000947791,0.5921807537484562,0.7391386886521379,0.7395142212330466,-0.6499967042950966,-0.7120636955892792,-0.7946152715253426,1.0359200740660595,-0.03280723006280365,-0.22022991429907848,-0.38534817959183787,1.3131544294154829,0.42050586707279086,-0.4480416162554618,1.3264202289602354,-0.4883637498008232,0.1982205559668947,-0.2541798748202716
Vandetanib,1.856511714031206,0.7724983206720647,0.9700836549151818,0.2520531814345336,-0.49002648482758204,-1.0627803910874114,-0.7376128249714146,0.7394735625037349,-0.8418711501114826,-0.6658952083129361,-0.775428505077065,1.0359200728598652,2.185963856487039,-0.1778144163029913,-0.8386382525694481,-1.0628894277851344,1.00430150368951,-0.2942592549444789,-0.7391423916858831,0.05484782529039063,-0.1972394345618028,-0.21837374465153905
Cobimetinib,-0.6487919560040081,0.7736175317367061,0.2165991745033301,2.330930566926385,-0.42587761771245164,-1.4216899065178081,-1.2243109186259897,0.08419962444569422,-0.15806318665770624,-0.7120636945009311,-0.736130143302278,1.0359200758307052,-0.11538989471856688,-0.2137335822540945,1.4396587691332885,-0.2842051978346354,-0.9562127237368637,-0.46492797077749665,0.6102436414342663,-0.6870770997316031,-1.1339927574579542,-0.24122146580682552
