Feature,Mean_Abs_SHAP
R0_Contractility,1.595809
n_b_Contractility,0.7635825
n_b_O2,0.4387076
kappa_b_Contractility,0.41610265
E_benefit_Contractility,0.26711407
kappa_t_O2,0.22414026
kappa_t_Contractility,0.2209472
m_t_Contractility,0.17465627
E_tox_Contractility,0.08593713
kappa_b_O2,0.045640122
tau_b_Contractility,0.03393207
R0_O2,0.026736556
m_t_O2,0.025807276
m_b_Contractility,0.025430018
n_t_Contractility,0.01957201
m_b_O2,0.018696008
E_benefit_O2,0.015554616
tau_b_O2,0.015075496
n_t_O2,0.008673083
tau_t_Contractility,0.0
E_tox_O2,0.0
tau_t_O2,0.0
