Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Bortezomib,0.15715216499217224,0.03551987903909648,-0.007766717513950994,0.012911632707445976,0.04263825958685568,0.008168812499403993,0.008529630219817088,0.01612490999600002,-0.008409441049024483,0.0124763478300184,0.020323129372522928,0.028820172704413102,0.034300873605068546,0.035242297650927616
Cobimetinib,-0.2056264553127279,-0.012912415887523987,-0.004240009874871784,-0.03378237349064383,-0.02656467711706951,-0.004144225139848025,-0.029809319732369045,0.006591210087522937,0.01534941833965859,0.010513734048636269,-0.013586356146523237,-0.011411440315935427,0.0048989804804638205,-0.01924411829800255
Daunorubicin,0.10569894704010675,-0.022845704098665015,-0.046468805473770323,-0.0390353633596608,-0.03696132561451304,-0.007479470200904975,-0.0365644820992503,-0.05886463396730856,-0.018975943605225337,-0.0021871640255923938,0.01608822764556035,0.0038196933849328537,-0.04826727813506124,-0.023169820711977637
Doxorubicin,0.14603688317500382,0.01250369741293307,-0.024489027654588255,0.06977841069105399,-0.016011880722753655,0.00028847310643141525,-0.019748543495431193,0.026690953564199305,0.025223004517940947,0.01835189096039395,0.031022760271058842,0.017462479652083716,0.04591640002948498,-0.010326883200377886
Epirubicin,0.154425074740218,0.04673004528273723,-0.027429689047576086,0.07080978469180652,0.03933222791841433,0.012001931493063894,-0.005246566976110464,0.0258924315774364,0.018885818392536693,0.018094998681964188,0.00012606664614887492,0.021759116944627295,0.00981156103500035,-0.009160849739500864
Ibrutinib,0.1580799517931855,0.03767692681863615,-0.015122540328598404,0.0697126263357446,0.0378553901663751,-0.021522930300689632,-0.006125289557146511,0.01498922955242681,0.020911697990625054,-0.00018036384335087417,0.0057865327292608145,0.03668024829223873,0.00385430183428052,0.004783687888275056
Ibuprofen,-0.17435008486206857,0.011246322125751426,-0.03451261563502967,-0.03519371265374417,-0.01539457354320273,-0.005244064451993425,-0.020092304623977507,-0.01845352884754308,-0.009376981481465171,-0.015950081936796656,-0.016152082361282526,-0.04062700609736934,-0.023142446197706147,-0.01339155445947265
Isoproterenol,0.1436799628652429,0.001303306457560184,0.09149914145595628,0.00778922247776262,0.030549435441642136,0.033022656020040404,0.032294190748040116,0.017455892100591352,0.0005800549020658299,0.010875823900721691,-0.01060740236493081,0.029872307364333283,0.0281980018598252,0.019519358411915197
Mexiletine,0.121803405725829,0.03708494109754675,0.08199606687023539,0.049186156353360724,0.03389125273417387,0.03502520701806588,-0.01146258985451119,0.02931040376553823,0.0010838353078625091,0.010320683187022481,0.006069560034916902,0.024977280570021042,0.030878625789504358,-0.007466210292132868
Panobinostat,0.06328047796440323,0.041135600050318265,0.07670437770795871,0.05555296577341835,0.02211886251165779,0.03601779851634466,-0.011759202587475225,0.026391331757138863,0.018027280475892537,0.012540007029629948,-0.0013187763460181278,0.03342499243675895,0.011778385460632389,0.003485368620602597
Rosiglitazone,-0.1975204450036495,-0.021817120512488675,0.01666479535704684,0.0031752916594058158,0.01400192634087003,-0.022585483447949094,0.03505977630750619,-0.033244579321730604,-0.005146590643089967,0.0010553196175520116,-0.023459329404408147,-0.07634350235957646,-3.545159465120906e-05,-0.015758470956907723
Sotalol,0.1661377830632766,0.014902735325231167,0.0012386922685661873,0.01678077065554222,0.03256134172640371,0.010967816056636189,0.03923058767061895,0.007324205445835665,-0.0004452117779200085,0.007516235582558097,0.04077958422372124,-0.009457921309278285,0.026331125408459076,0.0062382813751898185
Sunitinib,0.06823163979790246,-0.001213243758195079,-0.02742708632768048,-0.015035977067194287,0.0031084472208011476,-0.010887012579943163,0.03719911958943173,0.033499637999301314,0.02524180748310696,0.015469667668265324,0.014357959521629762,0.040979348928734574,0.0641055727215695,0.0017354037763700693
Vandetanib,0.16094409222207656,0.011473224228857904,0.03941561839270606,0.015010352090918562,-0.005062216479970746,0.009842608377944321,0.04520596322993278,-0.022971565464423357,0.01881165772442707,-0.006941085658843269,0.0007572519843735421,0.025395640749144098,0.012336514165321454,-0.003505252857868798
Vioxx,-0.20449152079875824,-0.03109417181788748,-0.0219396269474828,-0.006581260081560521,0.019879268831414495,-0.005597413839684563,0.013211286297388224,-0.030792761200801863,-0.010400595527368045,-0.01679293216273057,-0.02074515288157501,-0.043923850565360224,-0.005733247968691013,-0.012299403029469275
Amiodarone,-2.209791550967328e-06,0.007042663311977833,0.08092943137284403,0.008375126030871101,0.030544138144919894,0.036477625391707916,0.05365065357679139,0.011453408598330222,-0.002451845416129918,0.00855837105058756,0.040910195132889286,0.013421037246751349,0.04788060398885487,0.009983493742662655
Chlorpromazine,0.1452625606324106,0.009447505788006662,0.05533960263170809,0.009378296436489277,0.025300921459268634,0.0046773630010719085,0.036258933327912794,0.01144903554470142,-0.0006043376891564155,0.013423668177287467,0.035889228011348445,-0.02513919417206938,0.03878098659332771,0.036567381898459275
Gemcitibine,0.15211664506158057,0.01705759689193684,0.08885151335754934,0.0012289484341545896,-0.022750902102707065,0.010052755515321865,0.01781473654091,0.017581756886904255,-0.0016952195107143985,-0.009492627304363595,0.028141711925092062,0.027984541785679565,0.029252666896254914,0.003961901337241508
Nifedipine,0.09294853720131006,0.001817135301493445,0.08501699955894479,0.009050332104239014,0.018538697858512015,0.038143343965780306,0.04188231641626689,0.011344677502080087,0.010266910288382097,0.014799994209899655,0.040870357810225307,-0.0350551616057787,0.041342610301830805,0.03173186739424733
Vincristine,0.047147290257554555,-0.01734292545832927,-0.08529273488402123,-0.03331841997537772,-0.0394687683557967,-0.03792789931190649,-0.04218481176818569,-0.03944174515247795,-0.013625972240730042,-0.01703207861099961,0.01355973224351649,0.014711991509322944,-0.03982612178979155,-0.003184844081270574
Vorinostat,-0.18842314112133135,-0.03560787342590859,-0.03900652197379923,-0.03148660149451585,-0.03271024776477456,-0.022833867270842488,0.02774211644320059,0.010187303379539575,0.010211323880511667,-0.017819431884229405,-0.011200948394072516,0.030009557007464428,-0.03701840014806971,-0.012677982259072794
Dactinomycin,0.017110875872633408,-0.007529977946826018,-0.0881608302583246,-0.01949017965391048,0.02492886486204777,-0.027042665838779997,-0.03224705537118772,0.0032398234084805746,-0.014917237674874835,0.008006222117746861,-0.01696093959675269,-0.037908604427150216,-0.040885727641370044,-0.012110616210965569
Erlotinib,-0.14339454105009775,-0.020623251978098597,-0.027151607315774505,-0.03623845460023095,-0.041968862188539374,-0.005811152602571844,-0.03171694317843569,0.0130073253372189,0.016253872967403098,0.004089463045767309,-0.012552387672815947,0.004258405891088234,-0.04239403696491446,-0.013059211382565317
Etomoxir,-0.1580828597018343,-0.018283063347965874,-0.07679542324262416,-0.033406386329585175,-0.042366495399283347,-0.03706850772422674,-0.033170336337990644,-0.0031984470793315735,-0.014615643407224795,-0.016928071837862258,-0.003987637070571791,0.0243091725856167,-0.008986065594695761,-0.02138828387165387
Plicamycin,-0.19635131207954704,-0.017150765539217856,-0.049604747909743264,-0.0234878809760864,-0.00042159765541725965,-0.04539963106017545,-0.02225432358895305,0.0035574684965563506,-0.008497317744610985,0.005499430182144616,-0.008452151779334477,-0.036527588371135164,-0.02853861218615223,0.0036609818524386078
