Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Bortezomib,0.005736652087486395,0.18356462047995378,0.0,0.0,0.019580335169566053,0.011429773903915853,-0.007313259472098932,0.009630309531214997,0.0,0.0,0.05684142724373127,-0.025138106422318115,0.021155329319151473,-0.014671108515368169
Cobimetinib,-0.07729744221995564,-0.07012533535218698,0.0,0.0,0.008494519038163097,0.0,0.004965849228580019,0.016512482854436343,0.01607601164797212,0.0,0.11351891003062936,0.021564639120328653,0.0960932910864168,-0.05893589185196056
Daunorubicin,0.09566049600121074,0.10647091175486567,0.0,-0.013229186541108323,0.0,0.017326515543952748,0.0,0.02950578568051005,0.011705379864915209,0.0,0.05699224229090829,-0.015814799465633137,-0.014972661578037515,-0.012581074843510842
Doxorubicin,0.09720876520758276,0.12038440531041694,0.0,0.0,-0.013960903720547414,-0.00625808683925828,-0.002739475244203815,0.0036445488379446625,0.009306006780313536,0.005882086626474352,0.09171307894146633,0.0,-0.0441168171921162,0.0
Epirubicin,-0.04431600698560597,0.20098502612445632,0.0,-0.010615081715852737,0.011404410077686337,0.005822623880506456,0.0,0.0,0.00431152787067488,0.006928760248102073,0.0937804957930153,0.010984965528246758,-0.0182231121289732,0.0
Ibrutinib,0.09228914296563875,0.021551980788332818,-0.009165065060052826,0.0,0.0,-0.005897627445403593,0.0043431511189003374,-0.011120126921792426,0.0,-0.005263367151991993,0.09988805707014521,0.0,-0.012807336234136867,0.08722665330689612
Ibuprofen,0.08567685816286703,0.14138274465049186,0.0,0.0,0.0,0.013403427006034608,0.004079301080329167,0.006264467351780958,-0.011576083888408981,0.0,0.029348250950600757,0.010572318158313795,-0.027118571576156138,0.009030896812219873
Isoproterenol,0.1571310083462604,-0.05211005220248189,-0.022126023599926863,0.0,0.020840387290448556,0.014006916556414062,0.0,0.024932967335980265,0.0,0.0,0.0708896139974325,-0.05949672745587894,0.034403716530682624,-0.040394207327524224
Mexiletine,-0.048889395997302534,0.18614667896381465,-0.01241807862115668,0.0,0.0,0.010849255376128474,0.0,-0.009642165437657542,-0.012663457965725879,0.0,0.0935598965727923,0.007975178928847363,0.02952198633694241,0.0165191682051993
Panobinostat,-0.034972614445419895,0.12005883391077166,-0.0170562110563153,-0.011714118411034364,-0.0091669066052439,0.0,0.0,0.0,0.020396701089605562,-0.005097277130295341,0.09910198906733608,0.0,-0.003952226408715803,0.10346543869738412
Rosiglitazone,0.19263402961296577,0.04057737669451672,-0.013208334178637777,0.005429448662404135,0.011062424229193946,0.0,0.0,0.005215273498922263,0.0,0.0071039853267916685,0.07976763298244573,0.0,-0.04448950926959049,-0.023028718862087478
