Feature,Mean_Abs_SHAP
tau_t_O2,0.05138900904732032
E_tox_O2,0.03453705935419656
m_t_O2,0.026160875072880604
tau_b_O2,0.021506263080557114
kappa_t_O2,0.018542455286858037
n_b_O2,0.01637179247212582
E_tox_Contractility,0.01604501978479778
tau_b_Contractility,0.014855079842670725
R0_Contractility,0.012777100749600812
kappa_b_Contractility,0.012211130380212447
kappa_b_O2,0.011391261159310813
n_t_Contractility,0.011331776118985677
E_benefit_Contractility,0.01076592144415907
n_t_O2,0.010201301512935175
m_b_O2,0.009181394399757436
E_benefit_O2,0.008326116730580603
m_t_Contractility,0.008197516859238365
kappa_t_Contractility,0.007314003038848029
n_b_Contractility,0.006360431826434039
R0_O2,0.005152439000340581
m_b_Contractility,0.004526376786803214
tau_t_Contractility,0.0041430822230682455
