Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Bortezomib,-0.0012807297439214134,-0.033580210705857885,-0.032319128310682683,0.0012036092095205385,-0.009697013625126486,0.002204732202557821,0.01175429562108293,-0.027025913100508666,-0.004838321034134208,-0.03400569821704291,-0.10202034344087015,0.010841006784595899,-0.037760935739305224,0.0031028372642786413
Cobimetinib,-0.021665411719939236,0.004105192959922963,-0.027166341193273876,-0.0027650986476297303,-0.012324288808701728,0.0018831464120063431,-0.014304718184197842,-0.016483728188396805,-0.003652812357827701,-0.030406615603419486,-0.08898330187827036,-0.030270112694490578,-0.04582015045103627,-0.025567572480159496
Daunorubicin,0.00284512344451266,-0.04176789668587122,-0.028473988385294042,0.00323397469921878,-0.008529340624181186,0.0017773932338169237,-0.017421048194466708,-0.02071498342494622,0.00111712400931212,-0.04085067972467352,-0.0840394422013586,-0.02899187589615096,-0.01556222906061753,-0.03128203926280951
Doxorubicin,0.001640780006050716,-0.04215297485691582,-0.03616080411856328,-0.013549372013063629,-0.004983067451913218,0.0018363918444020534,-0.02026231738780442,-0.013652339227685939,-0.005249652137235331,-0.03826026430233741,-0.08390597366554137,-0.029355122082664296,-0.00685532579259333,-0.029178438316215197
Epirubicin,0.010249590895404448,-0.04489489696562274,-0.026730697732655535,-0.010478790785380956,-0.00281453549147634,0.002905084058639295,-0.03640996157078632,-0.013046369910459509,-0.005153477977023881,-0.0326843524203484,-0.07981997603073508,-0.030701849104202306,-0.024805348073794233,-0.03034936304010353
Ibrutinib,0.010984456969305943,-0.018676642217603692,-0.016248240151566333,-0.01118032808117949,-0.0024325412292449033,-0.0008227090673776421,-0.030541161801894787,-0.0001921577606350393,-0.006582224026258714,0.01580318310104352,-0.11407669057132515,-0.03265946785041339,-0.020134455172932966,-0.02190093021342634
Ibuprofen,-0.03221026029842901,-0.029977872553726248,-0.024112357675095807,-0.0027593333977184082,0.00669097391852455,-2.3639962279525806e-06,-0.03258031405956341,-0.01641357321608284,0.004145233721137351,0.014712761217046443,-0.11058211250393382,-0.03317485343178981,-0.016814742332898643,-0.03165612953978755
Isoproterenol,0.007544701989344233,-0.005304447335771951,0.015416648003005311,-0.004348494652294547,-0.017030553452356673,0.0002872788043079351,0.02419976617820951,-0.02572113475722062,-0.019493789470701666,-0.03791130307653864,-0.14324056169484195,0.03436721618026852,-0.03366495701601775,0.004811150798527813
Mexiletine,0.03192465497072091,-0.03981114036025969,0.014642583205697031,-0.01719163034053339,-0.013109063669334613,0.008981271882470167,-0.039040999564707406,-0.0029318472253456957,0.002348221552002998,-0.034134603857000165,-0.09536663246238333,-0.03020844214504262,-0.047683890338349,-0.04315342579648029
Panobinostat,0.026569542158538906,-0.039919826942842074,0.01089712542945155,-0.014282761957150515,-0.01597017425437,0.008376224778236354,-0.039212244314506005,-0.013319398795630126,-0.004556012799480762,-0.027206776461960253,-0.11692026837923071,-0.032264634298448384,-0.026406349701818443,-0.027186055276001313
Rosiglitazone,-0.029654712317493823,0.005766229467936469,-0.026901539894342883,0.005966739005379616,5.669577670938588e-05,-0.0021358349961252696,0.034084239012761586,-0.013894755687660163,0.0018895661606490011,-0.025426749527728616,-0.12436656167545829,-0.032104924682391435,-0.019338208715523515,-0.029266756666887838
Sotalol,0.006612401774894358,0.002195278169826285,-0.03799876451241632,0.0031291180644085047,-0.0035436798016929725,-0.0019265099526802447,0.02948146246207184,-0.013070792062123918,-0.004925826005072768,-0.03828988459513018,-0.10326917653986478,-0.03233734130564357,-0.05237243660408393,-0.007105661927906093
Sunitinib,0.016940262699571156,0.0048739266798463925,-0.031785768319494055,-0.013063461912821431,0.007551683040362622,0.0006643152112124241,0.02872818021776756,-0.0010382569459790815,-0.005712875498846726,-0.025991838488716616,-0.08492100338658007,-0.03551811508437079,-0.008580236979306833,-0.03653052268953141
Vandetanib,0.01347151044027552,0.005592332405531433,-0.032069836840095636,-0.001089885062609769,-0.012396934312486122,0.003186492985298167,0.021888782604688743,-0.0239002828107027,-0.00856233926980242,0.013351981446067319,-0.13351289236039549,-0.03483578767668912,-0.013378838228834317,-0.024499449488992783
Vioxx,-0.02667611096463072,0.008888145694712168,-0.03015993602199333,-0.0018836069266854076,-0.010760103791915727,-0.004129250132706834,0.019819041319863766,-0.01907647428249687,-0.006836892262678126,0.02666865056267309,-0.12465548438114257,-0.03919231194509627,-0.05100154284725416,-0.027759270189396158
Amiodarone,0.018222273912890895,0.014110411630414805,0.050994839880732744,0.022084015125905212,0.02065827905737326,0.01719046191256357,0.05527888152148616,0.0251136391236549,0.008781509985007303,-0.016542318830415115,0.15084028614876058,-0.009449592304696403,0.06807943199428358,0.03835892514948187
Chlorpromazine,0.035223366981042045,0.016003558017013978,0.0416280769664095,0.015378645062830038,0.01824209411584147,0.009148751549100885,0.04279807189340481,0.02484514775281123,0.008718161148941181,-0.006004911644851705,0.1800300738792976,-0.015433813561423601,0.06928840353037054,0.03785744495910734
Gemcitibine,0.053486506592988085,0.01937343676456359,0.04517075886746025,0.017166846781203626,0.0015270441740287222,0.013775004272893727,0.030282183612594223,0.004985843993876106,0.0032470355919528345,0.055984033778709356,0.16182490630748145,0.05775199135614234,-0.023904065682981375,0.012289639477077641
Nifedipine,0.05938238537208699,0.013466533933703933,0.062329172593149,0.01642316624057967,0.014180928407332765,0.018894413314625203,0.04463865988272891,0.025273222301327294,-0.004961884071826739,-0.008160460898478224,0.15255701147867096,-0.013904191064017956,0.06908118286980827,0.04118757061441981
Vincristine,0.07986081606414122,0.013530404138475859,-0.025282679049789467,0.0032064354550101785,0.0065117649077464776,0.012078857237340288,-0.019923775770538072,0.0017940584618125076,0.00686974283234149,0.04372875827996539,0.15483570811166386,0.06859721312699651,0.005493827435589745,0.01197749497469491
Vorinostat,0.016307111642549894,0.03624359652112027,0.000559158441711722,0.006191865978635435,0.02887922088629392,0.01849895852363691,0.0549501691360901,0.017581534443930253,-0.0015645600158036715,0.06170079706653699,-0.046251955069525626,0.09527888884815625,0.004745948107976674,0.01773364926989927
Dactinomycin,0.01825425203550419,0.007490234831150548,-0.03665664374529283,-0.01424191912593501,-0.004320574139393282,0.006630741580722233,-0.03572120017920411,-0.0024163091613359673,-0.0013151642608880314,-0.03025774243049522,-0.08863088306813548,-0.030957629104803132,-0.006772095520600851,0.013896300196899445
Erlotinib,0.004099442068010431,0.001494916547332867,-0.030075489819626242,-0.008491284604788622,-0.01517374017573544,0.0022175561099045935,-0.02113896001146719,-0.018805333954539788,-0.0057139151355523445,-0.033924634784009124,-0.0827942429137968,-0.026837608425115914,-0.012042179086017337,-0.03373994615362037
Etomoxir,-0.004261971173397101,0.0005790540744180226,-0.028580612232992228,-0.0012270247442181224,0.004960948205446492,-0.024341112886363737,-0.030658690955360113,-0.0008706849847705413,0.00237692997441955,-0.027861632456891845,-0.07141306315041272,-0.011399591425263828,-0.027261496303134247,-0.020129531443560014
Plicamycin,-0.029483230355262444,0.005383886149753129,-0.04085955672276532,-0.01017492619535275,-0.01196764180365518,-0.028167522086904116,-0.034888490039710875,-0.0022163018090027146,-0.0004650622526186657,-0.02377326664088245,-0.08405556991548294,-0.029735821330728843,-0.013332262958260422,0.016980619792126454
