Feature,Mean_Abs_SHAP
E_tox_O2,0.06852699445563122
tau_t_O2,0.04009590292892753
tau_b_O2,0.034000205065829445
E_benefit_Contractility,0.023379227971292108
kappa_b_O2,0.023275290551033178
kappa_t_O2,0.022500636000641547
E_benefit_O2,0.02123004679007552
R0_Contractility,0.020180618660633
n_t_Contractility,0.018218853342750408
m_t_O2,0.01750549236216787
n_b_O2,0.01636731881429613
E_tox_Contractility,0.01534070274480994
kappa_t_Contractility,0.015080036461163033
tau_b_Contractility,0.014128522877416899
kappa_b_Contractility,0.013272862658843008
m_b_O2,0.010919405312027291
m_b_Contractility,0.010898697638630255
n_b_Contractility,0.008008146709773874
m_t_Contractility,0.0075099855713267275
R0_O2,0.006254095186045356
tau_t_Contractility,0.004861222968715439
n_t_O2,0.00366624220426783
