Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Bortezomib,0.08124028457197226,0.07736943195912932,0.04764793294910422,0.019837421061279833,0.018799125018151522,0.03617736329357347,0.027067977964911744,0.040319649083622996,0.009970773475522896,0.034397819673820634,0.0849428149408097,0.006041233416686248,0.06227655509889513,-0.0015281184704134159
Cobimetinib,-0.029727417171326518,-0.022677025824897334,0.070402875237226,0.005909858915929879,0.012052809551512328,0.0322166065637181,0.045614988807344804,0.03566267913114111,0.006145218777799309,0.022361427096968024,0.06330803900802724,0.019110610249748954,0.0837664827115662,0.033746444315641715
Daunorubicin,0.11076205112782898,0.10849018372573468,0.04248934368944557,0.011106459992510616,-0.0035851943563921474,0.039055695247658825,0.013149689920179028,0.041058616327719705,0.00011481541971393114,0.03492079665976741,0.06898023582940832,0.034237930525521564,0.011906859880366907,0.03377754195236511
Doxorubicin,0.10856065641076747,0.10529188018774603,-0.006711663650202697,0.01737514972922351,0.002751622361304659,0.03552822966535215,0.01818512184342328,0.032394936886543685,0.012281133919720053,0.03558348458780782,0.06438755737751133,0.0193868750477418,0.030170190322916006,0.02971264208982756
Epirubicin,0.09050978951195152,0.12007373435920415,0.037139113490128044,0.025144907259338396,0.014992314682727494,0.046139215795334906,0.005968858898796871,0.018734911903425085,0.009249540041656727,0.022232862719534834,0.058769992665885895,0.040167213607351204,0.044444175744618716,0.0462806810492238
Ibrutinib,0.0948530069914571,0.04715003667134771,0.04300355098043419,0.020931714910891033,0.014397083449590843,0.01042945231643653,-0.0024992849892896754,-0.012497288822652868,0.011006506030370683,0.010803656118313784,0.12447089691280191,0.040399113684984646,0.026882901302185427,0.05187052249022033
Ibuprofen,-0.0025096012348736676,0.09653956879791169,0.050639467415323075,-0.011530399039954535,0.005662551659862,0.041187608290607566,0.013406409655158285,0.036721093555450834,-0.0006078222710745884,0.016443742734943742,0.13331681565800577,0.018136699635488713,0.02921495146475571,0.054292181436886675
Isoproterenol,0.07576936579090096,-0.0037067784195283426,0.0440455451085857,0.027162775922869073,0.018403944630839372,0.026616503770126657,0.04016150307682064,0.039916908698794544,0.02575237915175621,0.034560802271412054,0.14926873292237006,-0.011970060153774793,0.051148278788525084,0.0007636958107025927
Mexiletine,0.0484500227184989,0.11087152923756186,0.0508848297997377,0.02758355571850882,0.018056305622727406,0.0284474678075787,0.00875449040302206,0.009532811093972323,0.0026819166382165815,0.025249312821299386,0.09577711056365153,0.03579389907911274,0.07616467947518718,0.05459516134081978
Panobinostat,0.04213896498414222,0.11083005200413203,0.05453747710120214,0.025039131599551276,0.015642673584817194,0.025226935964129782,0.01083270901727553,0.01342572146058031,0.008518693669091274,0.02095049377515218,0.13318480332690302,0.03847620264074695,0.03869647403907781,0.050079601258356386
Rosiglitazone,0.00022134502224693082,-0.0028615018948295683,0.07420537405777304,0.02538282210666064,0.024677066921611496,0.04115399403720055,0.06276904577757565,0.034269769502093206,-0.0011206592160324176,0.01782416203870164,0.1398307184617247,0.021671516225854337,0.03194173217169242,0.043166307396222584
Sotalol,0.07328629648830064,-0.013558070191608167,0.07933368901872759,0.02912877826600237,0.019215166246523786,0.03951761981521526,0.056509100979145285,0.02533755079789691,0.011672229638193692,0.032369757276426984,0.08097777664448477,0.020693575034522755,0.07618277041810012,0.0005606902718012494
Sunitinib,-0.006994033286019602,0.007208752652702655,0.03982181891053194,0.010293190574155326,0.01403341590467453,0.023094882057271095,0.0790971346295217,0.0035764059180688635,0.009239083540998816,0.02213752696471923,0.06146697327135881,0.04317457669592068,0.045184918993802586,0.04149476554314602
Vandetanib,0.06431097260870207,-0.020030947802245607,0.06880091835472085,0.01726971068124243,-0.003479735354956798,0.03429071621378412,0.049857026560662446,0.040647626428954794,0.00916262499454933,0.008911947397108155,0.14160138625026641,0.032499754175280275,0.02279780845946203,0.03159134114548545
Vioxx,-0.001320346941068696,-0.011693347564365068,0.0754645364410515,0.029106447303614492,0.030059495411030576,0.041254006974095314,0.07093512128792274,0.038271815447572216,0.013107062157656914,-0.0017877105750491525,0.13996980262237949,0.02917954097452771,0.06817082733073501,0.05050967983363015
