Feature,Mean_Abs_SHAP
E_tox_O2,0.03478536738641901
E_benefit_O2,0.025305901054948423
kappa_b_O2,0.019031868611312085
n_b_O2,0.016162031813518267
kappa_t_Contractility,0.014868223820073053
tau_b_O2,0.01454524162482901
tau_t_O2,0.013996558042304328
kappa_t_O2,0.01391172883121825
E_benefit_Contractility,0.013704359434810853
n_t_Contractility,0.012614754134322715
m_t_O2,0.012416669655558456
n_t_O2,0.011714811386762464
m_b_Contractility,0.010928153855147917
R0_Contractility,0.010026799875390345
tau_b_Contractility,0.008272595355104502
E_tox_Contractility,0.008021131199791113
n_b_Contractility,0.0056600612696039365
R0_O2,0.00411767576333999
kappa_b_Contractility,0.003988530175048926
tau_t_Contractility,0.003708872489489845
m_b_O2,0.0035697317071924743
m_t_Contractility,0.002550575483013359
