Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Bortezomib,-0.07995955482805085,-0.04378922125327145,-0.01532880463842155,-0.021041030270800374,-0.009102111393025039,-0.038382095496131294,-0.03882227358599467,-0.013293735983114346,-0.005132452441388688,-0.00039212145677772404,0.017077528500060467,-0.01688224020128216,-0.02451561935958994,-0.0015747187938652267
Cobimetinib,0.05139282889126575,0.018571832864974366,-0.04323653404395213,-0.003144760268300153,0.00027147925718938744,-0.03409975297572446,-0.03131027062314695,-0.019178950942744296,-0.002492406419971608,0.008045188506451459,0.02567526287024304,0.011159502444741622,-0.03794633226052998,-0.008178871835482205
Daunorubicin,-0.11360717457234168,-0.06672228703986342,-0.014015355304151537,-0.014340434691729399,0.012114534980573332,-0.04083308848147576,0.004271358274287668,-0.020343632902773492,-0.001231939429026053,0.005929883064906119,0.015059206371950273,-0.0052460546293706025,0.003655369180250619,-0.002495502689555585
Doxorubicin,-0.11020143641681816,-0.0631389053308302,0.042872467768766014,-0.003825777716159885,0.002231445090608553,-0.037364621509754205,0.002077195544381133,-0.018742597658857746,-0.007031481782484721,0.0026767797145295807,0.01951841628802998,0.009968247034922493,-0.02331486453032267,-0.0005342037736123439
Epirubicin,-0.10075938040735594,-0.07517883739358136,-0.010408415757472502,-0.014666116473957451,-0.012177779191251155,-0.0490442998539742,0.030441102671989444,-0.00568854199296558,-0.004096062064632852,0.010451489700813565,0.02104998336484913,-0.009465364503148886,-0.01963882767082448,-0.015931318009120288
Ibrutinib,-0.10583746396076298,-0.02847339445374401,-0.02675531082886785,-0.009751386829711547,-0.011964542220345941,-0.00960674324905889,0.03304044679118446,0.012689446583287902,-0.0044242820041119684,-0.026606839219357307,-0.010394206341476796,-0.007739645834571246,-0.006748446129252466,-0.029969592276793994
Ibuprofen,0.03471986153330269,-0.06656169624418547,-0.026527109740227275,0.014289732437672942,-0.01235352557838655,-0.04118524429437963,0.019173904404405116,-0.02030752033936799,-0.0035374114500627634,-0.031156503951990194,-0.022734703154072063,0.015038153796301098,-0.012400209131857073,-0.02263605189709913
Isoproterenol,-0.08331406778024521,0.009011225755300289,-0.059462193111591,-0.022814281270574527,-0.0013733911784827061,-0.026903782574434598,-0.06436126925503016,-0.014195773941573932,-0.006258589681054545,0.003350500805126564,-0.006028171227528169,-0.022397156026493736,-0.01748332177250735,-0.0055748466092304045
Mexiletine,-0.0803746776892198,-0.07106038887730207,-0.06552741300543473,-0.010391925377975427,-0.004947241953392807,-0.03742873969004886,0.030286509161685342,-0.00660096386862663,-0.005030138190219581,0.00888529103570078,-0.00041047810126821087,-0.005585456934070128,-0.028480789136838186,-0.011441735544339506
Panobinostat,-0.06870850714268115,-0.07091022506128987,-0.06543460253065371,-0.010756369642400761,0.000327500669552797,-0.033603160742366134,0.028379535297230474,-0.00010632266495018959,-0.003962680869610514,0.006256282686808057,-0.01626453494767234,-0.006211568342298571,-0.012290124337259359,-0.022893545982355067
