Feature,Mean_Abs_SHAP
n_b_O2,0.020545400073852686
kappa_b_O2,0.017610380264474562
m_t_Contractility,0.012582239148204772
m_b_Contractility,0.009862249866460828
n_b_Contractility,0.009746339260391186
kappa_t_Contractility,0.009091913836664885
E_tox_Contractility,0.008233995817227639
E_benefit_Contractility,0.007895088804933406
tau_t_O2,0.006292018585660331
tau_t_Contractility,0.005501837666662199
E_benefit_O2,0.005246259924717478
kappa_b_Contractility,0.005105569678268465
n_t_O2,0.004778529644869026
n_t_Contractility,0.004519208338893021
R0_O2,0.003992196320057493
m_b_O2,0.003943267218060538
m_t_O2,0.0032857748757102144
kappa_t_O2,0.0030602172101652347
tau_b_Contractility,0.0030208249167845225
tau_b_O2,0.002624490870481403
R0_Contractility,0.0018462825937112556
E_tox_O2,0.0017579051038310975
