Drug,R0_Contractility,Emax_Contractility,kappa_Contractility,n_Contractility,m_Contractility,tau_Contractility,k_elim_Contractility,R0_O2,Emax_O2,kappa_O2,n_O2,m_O2,tau_O2,k_elim_O2
Bortezomib,0.029842555787609186,0.05023326844313957,0.0009721367873328081,0.048640816865218525,0.009402350080151,0.0,0.17924200810712337,0.013536417741110834,0.0,-0.029597957059264667,0.07533672019122273,0.021770930730398395,0.0,0.0
Cobimetinib,-0.14552068702172824,-0.018660341754524048,0.0,0.0,0.053874783533037096,0.0,-0.12461635977567197,-0.023169052394928072,-0.017517073892308676,-0.05513893274281909,-0.11647183289294281,-0.03196277468498765,0.0,-0.11552563749875307
Daunorubicin,0.14208811882909742,0.09449553616811697,-0.007354260553712855,0.028985407766156518,0.01974374635637554,-0.04222076281058643,0.013052362591289432,0.0,0.0,-0.023922980563198238,0.15623973963390153,0.0,0.0,0.01827234025660195
Doxorubicin,0.3005026854879245,0.18484515097173526,-0.01318858067592344,-0.021873283289282133,0.0,-0.018898266411943684,0.0,-0.011448857743866503,0.00950897863988584,0.0,-0.01911584816621093,0.0,0.02492463721689584,-0.0358773683587471
Epirubicin,-0.08423907887724799,0.11042145880343653,-0.024356602404357747,-0.19204850189461753,0.0,-0.01528518009215718,-0.12006724973461264,0.0,0.0,-0.055698144948038514,-0.12990822637692157,-0.016192270141229505,0.0,-0.06250121273803425
Ibrutinib,0.2057591151274887,-0.02040380702673352,-0.027704044928882544,-0.014787788501054767,0.016530622336753325,-0.011118662346429886,0.0,-0.008748581783438139,0.0,0.234805842907237,0.0,-0.0066508007377151235,0.0,0.031697352626582194
Ibuprofen,0.1541427199723347,0.14983116407024136,-0.037916979163139894,0.03865137522767362,0.0,0.030846333579476182,0.011319721909962388,-0.05918684011864967,0.0,0.12994843125484987,0.01686921532082169,0.0,-0.035125894379528455,0.0
Isoproterenol,0.101766160508435,-0.007250152232416651,0.02997362938583988,0.08476537161233313,-0.012040062848592633,0.0,0.15493826954429954,0.0,0.0,0.0037882253993941272,0.07103788838811541,0.0,-0.008851019210018941,-0.018749062873347034
Mexiletine,-0.14857425050244275,0.01091712523670707,0.0,-0.056478563911840786,-0.0039336588517090475,0.0,-0.17000479032630322,-0.007349187355574932,0.0,-0.0641967985920317,-0.09268474121953661,0.0,0.01729205041243732,-0.0855774580188122
Panobinostat,-0.01378469309096879,0.06293454667013744,0.0,-0.03471234294900043,0.03165228971501045,-0.008156015353128376,-0.04948207855841535,-0.02869920471738693,0.025699918573415064,0.0,0.07011675509028986,0.0,0.0,0.34381007228146604
Rosiglitazone,0.13475711583213323,0.012269042547125106,0.0,0.07413567676392821,-0.016796099144937366,0.028224778907547505,0.10062986970543229,0.0,0.0,-0.004878119975460282,0.06443614080364563,0.018877045456904495,-0.012276203222277066,0.0
Sotalol,0.11416941832718251,-0.01910979128544471,0.01626979927759502,0.06855640515435255,0.01137356050136981,0.01166933665006146,0.13839985821551226,0.017169058574732936,0.0,0.0,0.08438568853901089,0.0,0.0,-0.04350408628033096
Sunitinib,-0.003595995674707625,0.0022371001333540467,-0.009347197316301594,0.0,0.0,0.0,0.46323140110170663,-0.0018879430866435391,0.0,-0.019598177223005005,-0.0005283133012553565,0.003844279467394381,-0.0015770705436762564,-0.033398835882823975
Vandetanib,0.12048946086935568,-0.053465318104636894,0.00903518794275501,0.02938193998606624,0.0,0.04272190184483987,0.11686479643861039,0.0,0.0,0.0679429524889784,0.0,0.014784653715979423,0.04690006387476345,0.004723608617330159
Vioxx,0.10430510441830289,0.045744814184771956,-0.044255381852892794,0.08113194143625468,-0.044562961607456666,0.0,0.06507267305220824,0.03424097364466756,0.013315860716825088,0.09903693675621204,0.0,0.0,0.0,0.04534928692514873
Amiodarone,0.0,-0.01823020576571991,-0.002862501870975756,0.05575722578067256,-0.026416900430607307,0.007111587470166857,0.19897743360113446,0.02239693737519254,0.0,0.0,0.1936908599887118,-0.0016894450326459531,0.0,-0.02935574344188751
Chlorpromazine,0.04569161625443916,0.003637148087854541,0.0,0.08137966809087813,0.012233644432783899,0.00790155092406003,0.11488654597925013,0.012785739305248704,0.0,-0.05634955482774302,0.16243820866487022,0.0,0.014774680762399937,0.0
Gemcitibine,-0.012037963012742545,-0.026284620949480208,0.011215017831946178,0.02977287297897879,0.0,0.0,0.09347459460175034,0.0,0.0,0.13396711650061283,0.16641670399782504,0.022197810841111006,-0.004431392815633706,-0.014910892300325955
Nifedipine,-0.02274337416579073,0.0,-0.02206221883022905,0.10815843699616001,0.0,0.024652413822054367,0.13930969620524825,0.00958114219903039,-0.037793434664186325,0.02745454336060374,0.15534995155763814,0.0,0.01747209119351306,0.0
Vincristine,-0.016121444691449174,0.0,0.0,-0.03438611121943599,0.0,-0.007325533988805455,0.0059857785842806766,0.025524806827753557,0.0,0.08256299264516379,0.33158186387730637,0.030589583049833842,-0.013723848655627984,-0.005308838754977815
Vorinostat,-0.003970037519200008,0.017766463732730598,0.0,0.0,0.0,0.0,0.20393202829624976,-0.010218077749217904,-0.005807461927462967,0.20455500891218636,-0.0135444026042476,0.02809369992176755,0.008739192648439364,-0.030167166037203465
Dactinomycin,-0.11215146736305096,-0.01011786671295109,0.0,-0.03735943831843654,0.0,-0.016669848851506783,-0.1797530359962435,0.0,0.02507848010590885,-0.0611280743162866,-0.07917974554551334,0.0,-0.017257874235688635,-0.11207971138627897
Erlotinib,-0.11130419292570418,0.0,-0.02904064132557939,-0.052826024700096834,0.029752388199358548,0.0,-0.1518394357209136,0.0,0.0,-0.08934457800885888,-0.0649220531453859,-0.04015879246082273,-0.03500857508002424,-0.05574353567770644
Etomoxir,-0.1387125371422407,0.0,0.0,-0.07451326878141641,0.0,0.0,-0.17922487360050166,-0.010512027439813826,-0.015346896677506387,-0.07568939606839417,-0.08185256880397797,0.0071010587038252675,0.007286172800103574,-0.03907752592100381
Plicamycin,-0.12106181103187881,-0.013836014653598988,0.0,-0.060794372456372134,0.0,-0.00664875804267584,-0.1480649144062527,-0.020442720630860885,0.0,-0.04877630628288732,-0.09539514973935652,-0.01448505334322691,0.0,-0.07110729997037293
